Spearman	Kendall	MutualInformation
0.75	0.54	3.00
0.77	0.58	3.58
0.70	0.54	3.00
0.34	0.19	3.00
0.49	0.35	3.26
0.41	0.27	3.30
0.67	0.43	2.08
0.11	0.14	1.95
0.59	0.45	3.00
0.56	0.38	2.77
0.50	0.35	3.22
0.21	0.12	2.83
0.60	0.47	1.79
1.00	1.00	0.69
0.89	0.73	1.79
0.83	0.64	2.30
0.47	0.32	3.22
0.36	0.33	1.95
0.88	0.72	3.30
0.67	0.47	2.30
0.86	0.67	2.56
0.61	0.43	3.83
0.30	0.21	3.47
0.79	0.71	2.40
0.57	0.42	2.40
0.79	0.67	2.77
0.64	0.45	2.77
0.66	0.48	3.74
0.80	0.62	3.64
0.76	0.58	2.71
0.48	0.33	2.20
0.74	0.53	2.40
0.50	0.33	1.95
-0.39	-0.29	2.30
0.46	0.28	2.56
0.40	0.33	1.39
0.30	0.23	2.64
0.09	0.20	1.79
0.90	0.80	1.61
0.56	0.40	3.40
0.66	0.45	2.40
0.80	0.64	2.48
0.35	0.26	3.18
1.00	1.00	0.69
0.51	0.42	2.40
0.47	0.33	2.30
0.58	0.41	3.33
0.58	0.39	2.20
0.49	0.35	2.94
0.33	0.22	2.20
0.60	0.47	1.79
0.51	0.41	2.71
0.91	0.78	2.77
0.62	0.48	2.77
0.56	0.42	2.48
0.45	0.35	2.40
1.00	1.00	1.39
0.56	0.38	2.94
0.67	0.53	2.40
0.74	0.56	3.49
0.35	0.23	2.56
0.31	0.22	3.04
0.41	0.29	2.30
0.65	0.47	2.64
0.56	0.38	2.83
0.43	0.33	1.95
0.60	0.39	3.04
0.30	0.16	3.22
0.72	0.52	2.64
0.13	-0.02	2.40
0.43	0.20	1.79
0.67	0.51	3.18
0.74	0.58	2.48
0.64	0.49	2.71
0.74	0.57	2.08
0.16	0.19	2.64
0.64	0.48	3.04
0.71	0.52	1.95
-1.00	-1.00	0.69
0.56	0.45	2.48
0.57	0.39	2.71
0.61	0.43	3.66
0.90	0.78	2.30
-0.50	-0.33	1.10
1.00	1.00	1.39
-0.26	-0.07	1.79
1.00	1.00	1.10
0.57	0.44	2.56
1.00	1.00	1.10
-0.50	-0.33	1.10
0.31	0.20	1.79
0.21	0.14	1.95
0.69	0.50	2.08
0.71	0.56	2.30
1.00	1.00	1.10
0.62	0.50	2.08
0.48	0.21	2.08
0.54	0.33	1.79
0.36	0.27	2.48
0.78	0.62	3.09
0.78	0.58	2.77
0.70	0.60	1.61
0.64	0.51	2.30
0.63	0.47	3.71
0.62	0.46	3.18
0.80	0.60	1.61
0.71	0.52	3.43
0.72	0.54	3.43
0.73	0.53	3.56
0.54	0.43	2.64
0.50	0.35	3.14
0.20	0.11	2.30
0.67	0.48	2.48
0.56	0.42	2.94
0.61	0.52	1.95
0.66	0.51	3.04
0.71	0.47	1.79
0.61	0.46	3.40
0.76	0.54	2.89
0.90	0.80	1.61
0.21	0.19	2.83
0.40	0.33	1.39
0.52	0.36	2.08
0.66	0.51	2.30
0.80	0.64	2.40
0.39	0.29	2.30
0.82	0.64	2.30
0.61	0.45	3.40
0.26	0.20	1.79
0.72	0.53	2.40
0.36	0.25	2.89
0.64	0.48	3.22
0.92	0.78	2.30
0.74	0.52	2.77
0.91	0.79	2.48
0.77	0.59	3.74
0.43	0.28	2.89
0.81	0.56	2.40
0.59	0.45	3.37
0.48	0.33	3.50
0.31	0.14	2.08
0.43	0.36	2.48
0.59	0.42	2.30
0.70	0.60	1.61
0.28	0.24	2.89
0.50	0.33	1.10
1.00	1.00	1.61
0.37	0.28	2.20
0.54	0.33	2.30
1.00	1.00	0.69
0.65	0.49	2.40
1.00	1.00	1.61
0.40	0.33	1.39
0.26	0.20	1.79
0.61	0.33	1.95
0.68	0.50	3.04
0.50	0.33	1.10
0.54	0.41	2.71
0.83	0.70	2.71
0.78	0.60	2.40
0.81	0.60	2.30
0.57	0.43	1.95
0.88	0.71	2.08
0.80	0.67	1.39
1.00	1.00	1.39
0.33	0.22	2.20
0.40	0.30	2.64
-1.00	-1.00	0.69
0.94	0.87	1.79
0.60	0.33	1.39
0.50	0.33	3.61
0.41	0.24	2.48
0.31	0.14	2.08
0.42	0.24	2.40
0.55	0.36	2.08
1.00	1.00	0.69
0.86	0.71	1.95
0.03	-0.07	1.79
0.70	0.60	1.61
0.85	0.67	2.20
0.74	0.55	3.61
0.58	0.44	2.20
0.17	0.11	2.20
1.00	1.00	1.39
0.56	0.42	2.77
0.43	0.20	1.79
0.80	0.67	1.39
0.81	0.60	2.30
0.67	0.50	3.04
0.87	0.70	2.48
0.52	0.36	3.40
0.80	0.67	1.39
0.60	0.40	1.61
0.89	0.73	1.79
1.00	1.00	0.69
-0.80	-0.67	1.39
0.45	0.39	2.20
0.75	0.60	2.30
0.86	0.71	2.40
0.62	0.47	2.30
0.50	0.33	1.10
0.30	0.20	1.61
-0.50	-0.40	1.61
0.61	0.42	2.40
0.83	0.64	2.08
1.00	1.00	0.69
0.80	0.67	1.39
0.43	0.36	2.48
0.50	0.33	1.10
0.44	0.28	3.56
0.83	0.73	1.79
-0.31	-0.33	1.79
0.66	0.47	1.79
0.88	0.71	2.08
0.62	0.44	2.83
0.38	0.30	2.71
0.74	0.55	3.00
0.59	0.45	3.53
0.90	0.78	2.40
0.57	0.43	3.26
0.65	0.50	2.20
0.77	0.56	2.30
0.59	0.40	3.04
0.58	0.46	2.56
0.92	0.78	2.30
0.60	0.44	3.33
0.61	0.33	1.95
0.60	0.45	2.71
0.69	0.52	2.64
0.74	0.56	2.71
0.67	0.48	3.18
0.50	0.33	3.00
0.62	0.44	2.89
0.65	0.52	2.64
0.92	0.79	2.48
0.05	0.00	2.48
0.60	0.50	2.20
0.59	0.45	2.40
1.00	1.00	1.10
0.12	0.05	2.40
0.60	0.33	1.39
0.76	0.59	2.56
0.91	0.76	2.83
0.53	0.42	2.48
1.00	1.00	1.10
0.39	0.29	2.30
0.20	0.00	1.39
0.70	0.60	1.61
0.69	0.48	3.00
0.86	0.69	2.56
0.52	0.36	2.48
0.57	0.41	2.64
0.54	0.35	3.22
-0.50	-0.33	1.10
0.48	0.36	2.08
0.20	0.07	1.79
0.50	0.38	2.40
1.00	1.00	1.39
0.56	0.41	2.64
0.12	0.03	2.48
0.80	0.60	1.61
0.66	0.51	2.83
0.50	0.33	1.10
0.00	0.00	1.39
-0.50	-0.33	1.10
0.62	0.46	2.83
0.23	0.17	2.20
-0.20	0.00	1.39
0.60	0.33	1.39
-1.00	-1.00	0.69
0.45	0.33	2.20
0.47	0.35	3.22
0.29	0.22	2.77
0.87	0.70	2.71
0.25	0.24	1.95
0.30	0.20	1.61
0.40	0.33	1.39
0.80	0.67	1.39
0.54	0.45	2.71
0.60	0.40	1.61
-1.00	-1.00	0.69
0.09	0.08	2.64
0.79	0.60	2.77
0.40	0.28	2.20
0.84	0.71	2.40
0.63	0.46	3.04
0.43	0.20	1.79
1.00	1.00	1.10
0.40	0.31	2.40
0.38	0.25	2.64
0.82	0.62	1.95
0.81	0.64	2.40
0.48	0.33	2.20
0.40	0.33	1.39
0.55	0.40	3.30
0.72	0.56	2.30
0.85	0.69	2.56
0.10	0.00	1.61
0.66	0.50	3.61
0.73	0.50	2.20
0.52	0.42	2.40
0.54	0.47	1.79
0.82	0.62	2.89
0.62	0.43	3.09
0.87	0.75	2.40
0.54	0.38	2.40
