Spearman	Kendall	MutualInformation
0.15	0.13	2.40
0.83	0.67	2.20
0.48	0.35	2.40
0.48	0.33	2.20
0.27	0.16	2.30
0.43	0.36	2.08
-0.05	-0.02	2.40
0.50	0.47	2.30
-0.77	-0.61	2.20
0.13	0.11	2.20
-0.10	0.00	1.61
0.47	0.35	2.40
0.81	0.71	2.08
0.62	0.42	2.40
0.88	0.71	2.08
0.48	0.36	2.08
0.35	0.28	2.20
0.29	0.20	2.40
0.08	0.07	2.30
-0.15	-0.07	2.30
0.24	0.21	2.08
-0.29	-0.24	1.95
0.03	-0.02	2.40
0.32	0.17	2.20
0.41	0.29	2.30
0.08	0.00	2.20
0.27	0.24	2.40
0.55	0.36	2.08
0.21	0.16	2.40
0.01	0.02	2.40
0.68	0.52	1.95
0.71	0.57	2.08
0.26	0.16	2.30
0.36	0.29	2.08
0.31	0.20	2.40
-0.05	-0.07	2.08
0.81	0.64	2.08
0.52	0.38	2.30
0.41	0.33	2.30
0.64	0.51	2.30
-0.37	-0.35	2.40
0.02	0.02	2.30
-0.15	-0.16	2.30
0.50	0.24	2.30
0.43	0.24	2.40
0.20	0.11	2.30
0.14	0.16	2.30
0.86	0.71	2.08
-0.47	-0.28	2.20
0.24	0.16	2.30
-0.55	-0.43	2.08
0.41	0.35	2.40
0.33	0.20	2.30
0.63	0.38	2.40
0.19	0.16	2.30
-0.20	-0.17	2.20
0.31	0.29	2.08
0.68	0.52	1.95
-0.02	0.00	2.20
0.48	0.36	2.08
0.17	0.07	2.08
0.62	0.50	2.08
0.30	0.28	2.20
-0.07	-0.07	2.30
0.14	0.33	1.79
0.55	0.38	2.40
0.28	0.17	2.20
0.71	0.50	2.08
-0.52	-0.36	2.08
0.24	0.16	2.40
-0.07	-0.05	1.95
0.49	0.33	2.30
0.57	0.39	2.20
0.78	0.60	2.30
0.06	0.00	2.48
-0.57	-0.33	2.20
-0.11	-0.14	1.95
0.55	0.35	2.40
-0.24	-0.16	2.30
-0.04	-0.05	1.95
-0.03	0.07	2.30
0.25	0.13	2.40
0.54	0.42	2.40
0.19	0.13	2.40
0.45	0.33	2.20
0.02	0.07	2.08
-0.24	-0.21	2.08
0.68	0.51	2.30
0.45	0.35	2.40
0.61	0.43	1.95
0.49	0.38	2.30
0.83	0.64	2.08
0.11	0.14	1.95
-0.36	-0.27	2.40
0.70	0.47	2.30
0.45	0.38	2.40
0.60	0.44	2.20
0.59	0.45	2.40
0.48	0.38	2.30
0.08	0.06	2.20
-0.31	-0.21	2.08
0.79	0.60	2.40
-0.12	-0.02	2.30
0.24	0.16	2.40
0.76	0.51	2.30
0.07	0.02	2.30
0.14	0.20	2.30
-0.29	-0.21	2.08
-0.22	-0.20	2.40
0.38	0.24	2.30
0.84	0.67	2.40
0.21	0.21	2.08
-0.20	-0.11	2.30
0.09	0.05	2.40
0.39	0.24	2.40
-0.02	0.00	2.20
0.40	0.29	2.08
0.56	0.42	2.30
0.50	0.29	2.08
0.35	0.27	2.40
-0.10	-0.07	2.08
0.83	0.64	2.08
-0.14	-0.14	1.95
0.08	0.09	2.40
0.73	0.61	2.20
0.04	-0.05	1.95
0.82	0.64	2.40
0.72	0.56	2.30
0.50	0.42	2.40
0.64	0.57	2.08
0.08	0.11	2.20
0.44	0.31	2.40
0.14	0.11	2.30
0.68	0.56	2.30
0.19	0.09	2.40
0.59	0.49	2.40
0.43	0.43	2.08
-0.42	-0.31	2.40
0.52	0.29	2.08
0.05	0.07	2.08
0.52	0.33	2.20
0.96	0.91	2.30
-0.35	-0.27	2.40
