Spearman	Kendall	MutualInformation
0.41	0.31	2.40
0.78	0.67	2.20
0.75	0.56	2.40
0.88	0.72	2.20
0.70	0.51	2.30
0.55	0.43	2.08
0.47	0.31	2.40
0.72	0.56	2.30
0.12	0.06	2.20
0.67	0.56	2.20
0.50	0.40	1.61
0.21	0.16	2.40
0.57	0.50	2.08
0.58	0.38	2.40
0.79	0.64	2.08
0.62	0.50	2.08
0.68	0.50	2.20
0.65	0.49	2.40
0.35	0.24	2.30
0.45	0.33	2.30
0.02	0.07	2.08
0.07	0.05	1.95
0.55	0.42	2.40
0.22	0.22	2.20
0.45	0.33	2.30
0.62	0.44	2.20
0.69	0.49	2.40
0.62	0.50	2.08
0.47	0.31	2.40
0.82	0.64	2.40
0.57	0.43	1.95
0.36	0.21	2.08
0.30	0.20	2.30
0.86	0.71	2.08
0.70	0.49	2.40
0.05	0.00	2.08
0.67	0.50	2.08
0.59	0.42	2.30
0.56	0.42	2.30
0.70	0.60	2.30
0.53	0.38	2.40
0.62	0.56	2.30
0.56	0.47	2.30
0.62	0.47	2.30
0.49	0.38	2.40
0.72	0.60	2.30
0.62	0.51	2.30
0.69	0.57	2.08
0.35	0.28	2.20
0.55	0.42	2.30
0.31	0.29	2.08
0.63	0.49	2.40
0.61	0.47	2.30
0.82	0.67	2.40
0.03	0.07	2.30
0.40	0.28	2.20
0.74	0.57	2.08
0.39	0.33	1.95
0.52	0.39	2.20
0.90	0.79	2.08
0.69	0.50	2.08
0.57	0.50	2.08
0.40	0.28	2.20
0.16	0.07	2.30
0.26	0.20	1.79
0.41	0.35	2.40
0.63	0.50	2.20
0.45	0.43	2.08
0.31	0.21	2.08
0.46	0.38	2.40
0.64	0.43	1.95
0.67	0.47	2.30
0.40	0.28	2.20
0.38	0.33	2.30
0.69	0.52	2.48
0.52	0.33	2.20
0.61	0.52	1.95
0.88	0.75	2.40
0.66	0.51	2.30
0.89	0.81	1.95
0.60	0.47	2.30
0.83	0.64	2.40
0.45	0.27	2.40
0.49	0.38	2.40
0.48	0.44	2.20
0.55	0.43	2.08
-0.02	-0.07	2.08
0.39	0.38	2.30
0.28	0.24	2.40
0.14	0.05	1.95
0.52	0.42	2.30
0.79	0.57	2.08
0.57	0.52	1.95
0.54	0.38	2.40
0.85	0.64	2.30
0.83	0.64	2.40
0.82	0.67	2.20
0.53	0.42	2.40
0.73	0.60	2.30
0.80	0.61	2.20
0.31	0.21	2.08
0.77	0.56	2.40
0.58	0.51	2.30
0.73	0.53	2.40
0.77	0.64	2.30
0.26	0.24	2.30
-0.13	-0.11	2.30
0.76	0.64	2.08
0.75	0.56	2.40
0.76	0.56	2.30
0.65	0.45	2.40
0.48	0.36	2.08
0.64	0.56	2.30
0.83	0.75	2.40
0.56	0.42	2.40
0.60	0.39	2.20
0.19	0.14	2.08
0.14	0.11	2.30
0.52	0.43	2.08
0.68	0.53	2.40
0.48	0.36	2.08
0.93	0.79	2.08
0.04	-0.05	1.95
0.53	0.42	2.40
0.98	0.94	2.20
0.50	0.33	1.95
0.67	0.56	2.40
0.32	0.24	2.30
0.63	0.45	2.40
0.83	0.71	2.08
0.58	0.39	2.20
0.31	0.27	2.40
0.83	0.69	2.30
0.66	0.56	2.30
0.24	0.16	2.40
0.61	0.45	2.40
0.74	0.64	2.08
0.79	0.64	2.40
0.33	0.29	2.08
0.14	0.07	2.08
0.33	0.28	2.20
0.58	0.42	2.30
0.54	0.38	2.40
