Spearman	Kendall	MutualInformation
0.69	0.48	3.00
0.78	0.58	3.58
0.83	0.62	3.00
0.61	0.40	3.00
0.57	0.46	3.26
0.54	0.36	3.30
0.71	0.50	2.08
0.29	0.24	1.95
0.67	0.48	3.00
0.79	0.58	2.77
0.68	0.47	3.22
0.26	0.19	2.83
0.14	0.07	1.79
1.00	1.00	0.69
0.66	0.60	1.79
0.62	0.42	2.30
0.76	0.53	3.22
0.50	0.33	1.95
0.79	0.57	3.30
0.53	0.38	2.30
0.83	0.62	2.56
0.51	0.32	3.83
0.46	0.34	3.47
0.93	0.82	2.40
0.64	0.45	2.40
0.78	0.60	2.77
0.70	0.53	2.77
0.66	0.49	3.74
0.76	0.56	3.64
0.59	0.37	2.71
0.60	0.44	2.20
0.57	0.49	2.40
0.71	0.52	1.95
0.12	0.07	2.30
0.88	0.74	2.56
0.20	0.00	1.39
0.31	0.23	2.64
0.37	0.07	1.79
-0.30	-0.20	1.61
0.58	0.38	3.40
0.70	0.49	2.40
0.81	0.64	2.48
0.25	0.17	3.18
1.00	1.00	0.69
-0.15	-0.09	2.40
0.64	0.42	2.30
0.59	0.42	3.33
0.80	0.61	2.20
0.62	0.49	2.94
0.15	0.11	2.20
0.71	0.60	1.79
0.62	0.43	2.71
0.86	0.67	2.77
0.70	0.55	2.77
0.43	0.36	2.48
0.50	0.35	2.40
1.00	1.00	1.39
0.73	0.54	2.94
0.49	0.35	2.40
0.76	0.54	3.49
0.26	0.18	2.56
0.54	0.42	3.04
0.43	0.24	2.30
0.78	0.58	2.64
0.52	0.34	2.83
0.43	0.33	1.95
0.71	0.56	3.04
0.23	0.12	3.22
0.56	0.43	2.64
0.10	0.05	2.40
0.43	0.47	1.79
0.63	0.46	3.18
0.59	0.39	2.48
0.49	0.31	2.71
0.83	0.71	2.08
0.71	0.52	2.64
0.59	0.43	3.04
0.43	0.33	1.95
1.00	1.00	0.69
0.57	0.42	2.48
0.74	0.54	2.71
0.65	0.44	3.66
0.88	0.73	2.30
0.50	0.33	1.10
0.20	0.00	1.39
-0.43	-0.47	1.79
0.50	0.33	1.10
0.80	0.59	2.56
0.50	0.33	1.10
-0.50	-0.33	1.10
0.60	0.33	1.79
0.46	0.43	1.95
0.43	0.36	2.08
0.62	0.47	2.30
-0.50	-0.33	1.10
0.43	0.29	2.08
0.71	0.50	2.08
0.31	0.20	1.79
0.58	0.39	2.48
0.47	0.33	3.09
0.66	0.48	2.77
1.00	1.00	1.61
0.81	0.64	2.30
0.59	0.43	3.71
0.75	0.58	3.18
0.60	0.40	1.61
0.64	0.42	3.43
0.69	0.51	3.43
0.82	0.66	3.56
0.77	0.60	2.64
0.50	0.42	3.14
0.39	0.29	2.30
0.65	0.42	2.48
0.48	0.35	2.94
0.50	0.43	1.95
0.72	0.49	3.04
0.77	0.60	1.79
0.47	0.33	3.40
0.76	0.59	2.89
1.00	1.00	1.61
0.73	0.56	2.83
0.80	0.67	1.39
0.67	0.50	2.08
0.76	0.56	2.30
0.78	0.64	2.40
0.59	0.38	2.30
0.89	0.73	2.30
0.63	0.45	3.40
0.26	0.20	1.79
0.82	0.67	2.40
0.57	0.42	2.89
0.67	0.47	3.22
0.71	0.51	2.30
0.57	0.25	2.77
0.78	0.61	2.48
0.75	0.56	3.74
0.35	0.27	2.89
0.85	0.67	2.40
0.68	0.49	3.37
0.74	0.57	3.50
0.36	0.21	2.08
0.36	0.27	2.48
0.47	0.29	2.30
0.90	0.80	1.61
0.74	0.54	2.89
0.50	0.33	1.10
0.90	0.80	1.61
0.55	0.39	2.20
0.61	0.47	2.30
1.00	1.00	0.69
0.75	0.56	2.40
0.90	0.80	1.61
-0.20	0.00	1.39
0.60	0.47	1.79
0.71	0.43	1.95
0.79	0.62	3.04
0.50	0.33	1.10
0.42	0.35	2.71
0.30	0.14	2.71
0.87	0.75	2.40
0.75	0.56	2.30
0.75	0.62	1.95
0.81	0.57	2.08
0.40	0.33	1.39
0.80	0.67	1.39
0.13	0.17	2.20
0.54	0.38	2.64
1.00	1.00	0.69
0.94	0.87	1.79
-0.20	0.00	1.39
0.60	0.42	3.61
0.40	0.33	2.48
-0.14	-0.07	2.08
0.69	0.49	2.40
0.67	0.43	2.08
1.00	1.00	0.69
0.57	0.33	1.95
0.60	0.47	1.79
0.90	0.80	1.61
0.88	0.72	2.20
0.77	0.57	3.61
0.37	0.28	2.20
0.73	0.56	2.20
0.80	0.67	1.39
0.50	0.35	2.77
0.83	0.60	1.79
0.40	0.33	1.39
0.77	0.64	2.30
0.75	0.55	3.04
0.79	0.58	2.48
0.65	0.42	3.40
1.00	1.00	1.39
0.80	0.60	1.61
0.94	0.87	1.79
1.00	1.00	0.69
-0.60	-0.33	1.39
0.55	0.44	2.20
0.73	0.56	2.30
0.43	0.27	2.40
0.66	0.51	2.30
0.50	0.33	1.10
0.10	0.00	1.61
0.70	0.60	1.61
0.72	0.53	2.40
0.98	0.93	2.08
1.00	1.00	0.69
0.40	0.33	1.39
0.77	0.67	2.48
0.50	0.33	1.10
0.56	0.38	3.56
0.71	0.47	1.79
-0.03	-0.07	1.79
0.77	0.60	1.79
0.38	0.29	2.08
0.60	0.46	2.83
0.59	0.43	2.71
0.74	0.53	3.00
0.65	0.47	3.53
0.85	0.67	2.40
0.46	0.32	3.26
0.75	0.72	2.20
0.83	0.69	2.30
0.69	0.49	3.04
0.57	0.41	2.56
0.59	0.33	2.30
0.56	0.40	3.33
0.89	0.71	1.95
0.71	0.49	2.71
0.67	0.52	2.64
0.72	0.54	2.71
0.64	0.45	3.18
0.62	0.45	3.00
0.67	0.49	2.89
0.71	0.56	2.64
0.69	0.55	2.48
0.48	0.39	2.48
0.75	0.56	2.20
0.55	0.42	2.40
0.50	0.33	1.10
-0.05	0.02	2.40
1.00	1.00	1.39
0.82	0.64	2.56
0.76	0.63	2.83
0.51	0.33	2.48
0.50	0.33	1.10
0.52	0.51	2.30
-0.80	-0.67	1.39
0.90	0.80	1.61
0.49	0.37	3.00
0.35	0.26	2.56
0.68	0.48	2.48
0.83	0.65	2.64
0.63	0.42	3.22
0.50	0.33	1.10
0.38	0.29	2.08
0.20	0.07	1.79
0.63	0.49	2.40
0.80	0.67	1.39
0.35	0.23	2.64
0.44	0.33	2.48
0.80	0.60	1.61
0.53	0.37	2.83
0.50	0.33	1.10
0.00	0.00	1.39
-1.00	-1.00	1.10
0.47	0.32	2.83
0.47	0.33	2.20
0.80	0.67	1.39
-0.20	0.00	1.39
1.00	1.00	0.69
0.53	0.44	2.20
0.42	0.31	3.22
0.60	0.40	2.77
0.71	0.52	2.71
0.61	0.43	1.95
0.70	0.60	1.61
0.80	0.67	1.39
0.80	0.67	1.39
0.65	0.47	2.71
0.30	0.20	1.61
-1.00	-1.00	0.69
-0.31	-0.23	2.64
0.61	0.40	2.77
0.78	0.56	2.20
0.55	0.42	2.40
0.70	0.53	3.04
0.49	0.33	1.79
0.50	0.33	1.10
0.82	0.71	2.40
0.37	0.25	2.64
0.64	0.62	1.95
0.78	0.60	2.40
0.45	0.33	2.20
0.40	0.33	1.39
0.70	0.52	3.30
0.84	0.64	2.30
0.81	0.62	2.56
0.30	0.20	1.61
0.60	0.43	3.61
0.53	0.33	2.20
0.29	0.20	2.40
0.77	0.60	1.79
0.79	0.59	2.89
0.80	0.61	3.09
0.93	0.78	2.40
0.86	0.75	2.40
0.71	0.60	1.79
0.94	0.87	1.79
0.64	0.44	3.00
0.57	0.43	3.84
0.71	0.57	2.08
0.60	0.50	2.20
0.10	0.00	1.61
0.73	0.51	3.56
0.09	0.07	1.79
0.44	0.31	2.40
0.40	0.33	1.39
0.54	0.47	1.79
0.45	0.29	3.22
0.57	0.38	2.56
0.40	0.33	1.39
0.27	0.18	2.83
0.36	0.33	1.95
0.58	0.40	2.83
0.32	0.14	1.95
0.92	0.76	2.64
1.00	1.00	1.39
0.12	0.06	2.20
0.87	0.69	2.89
0.54	0.43	1.95
0.04	0.04	2.83
0.86	0.71	2.40
0.64	0.45	2.48
0.76	0.60	2.40
0.61	0.33	1.95
0.13	0.12	2.64
0.57	0.44	2.89
0.49	0.38	2.64
0.70	0.51	3.90
0.69	0.47	3.37
0.63	0.46	3.18
0.34	0.25	2.77
0.94	0.87	1.79
0.89	0.73	1.79
0.70	0.47	3.09
0.68	0.46	3.18
0.29	0.18	2.71
0.01	0.07	2.30
0.83	0.73	1.79
0.77	0.59	3.26
0.61	0.45	2.77
0.54	0.24	1.95
0.69	0.52	2.64
0.74	0.56	2.64
0.58	0.50	2.20
0.49	0.34	3.30
0.69	0.53	3.43
0.77	0.59	2.56
0.58	0.38	2.56
0.71	0.53	3.76
0.72	0.53	3.43
0.55	0.43	2.83
0.70	0.55	2.48
0.61	0.45	3.30
0.71	0.58	2.71
0.62	0.50	2.20
0.09	0.07	1.79
0.92	0.78	2.20
0.68	0.45	3.09
0.53	0.41	2.64
0.20	0.20	1.61
0.35	0.24	3.09
0.83	0.73	1.79
0.62	0.50	2.08
0.76	0.57	2.08
0.70	0.48	2.48
0.79	0.60	2.40
0.62	0.45	2.40
0.70	0.51	3.56
0.81	0.62	2.56
0.74	0.57	2.08
0.80	0.60	1.61
0.40	0.33	1.39
0.31	0.24	2.40
0.81	0.62	3.40
-0.05	-0.07	2.30
0.23	0.14	2.64
0.36	0.25	2.89
0.68	0.52	3.22
0.60	0.40	1.61
0.60	0.40	1.61
0.10	0.00	1.61
0.70	0.60	1.61
0.60	0.46	2.56
0.22	0.18	2.94
0.20	0.07	1.79
0.36	0.24	1.95
0.68	0.51	2.30
0.41	0.30	2.48
0.62	0.45	2.64
0.63	0.46	3.04
0.66	0.48	3.04
0.47	0.33	3.22
0.49	0.32	2.64
0.61	0.39	3.04
0.41	0.28	2.89
0.63	0.45	3.26
0.60	0.47	1.79
1.00	1.00	1.79
1.00	1.00	1.10
0.62	0.47	3.00
0.53	0.40	2.77
0.49	0.38	2.30
-0.03	0.05	2.64
0.71	0.60	1.79
0.35	0.27	2.77
0.72	0.52	3.30
0.70	0.50	2.20
0.60	0.40	1.61
0.70	0.56	2.71
0.83	0.63	2.77
0.50	0.37	3.14
0.53	0.36	3.37
0.74	0.56	3.26
0.54	0.36	3.14
0.83	0.65	2.77
0.72	0.61	2.20
0.62	0.38	2.30
0.87	0.74	2.56
0.76	0.53	2.94
0.89	0.81	1.95
0.75	0.51	2.30
0.96	0.90	1.95
-0.26	-0.20	1.79
0.57	0.43	1.95
0.60	0.40	1.61
0.70	0.60	1.61
0.75	0.58	3.30
1.00	1.00	0.69
0.81	0.65	2.94
0.94	0.87	1.79
0.38	0.21	2.08
0.60	0.44	2.20
0.19	0.15	2.56
1.00	1.00	0.69
0.72	0.47	2.30
0.39	0.27	2.40
-1.00	-1.00	0.69
0.17	0.13	2.40
0.22	0.13	3.09
0.61	0.45	3.30
0.89	0.73	1.79
0.43	0.29	2.89
0.69	0.54	2.64
0.00	0.05	1.95
0.60	0.47	1.79
0.60	0.42	3.66
0.73	0.57	3.56
0.69	0.51	3.09
0.58	0.41	2.56
-0.10	0.00	1.61
0.21	0.14	1.95
0.78	0.60	2.40
0.43	0.30	3.14
0.70	0.54	2.83
0.71	0.52	1.95
-1.00	-1.00	1.10
0.40	0.40	1.61
0.35	0.25	2.64
1.00	1.00	0.69
0.50	0.43	1.95
0.20	0.20	1.61
0.35	0.33	2.20
0.68	0.49	3.83
0.55	0.39	2.71
0.67	0.44	2.20
0.73	0.53	3.26
0.48	0.50	2.20
0.76	0.58	2.48
0.59	0.47	2.94
0.10	0.00	1.61
0.76	0.60	2.71
0.50	0.33	1.10
0.39	0.27	3.18
0.57	0.45	2.48
0.45	0.29	2.08
0.75	0.52	3.00
0.00	0.00	1.39
1.00	1.00	1.10
0.85	0.71	2.40
0.40	0.29	2.08
0.30	0.20	1.61
0.80	0.64	2.40
0.86	0.64	2.48
0.82	0.61	2.20
0.19	0.16	2.30
0.54	0.39	3.09
0.88	0.72	2.20
0.76	0.56	2.81
1.00	1.00	1.39
0.43	0.33	1.95
0.54	0.42	3.30
0.76	0.59	3.04
0.52	0.39	2.48
0.64	0.43	2.08
0.82	0.72	2.20
0.16	0.12	2.64
0.37	0.31	2.40
0.43	0.27	2.64
0.50	0.33	1.10
0.66	0.47	3.87
0.44	0.32	3.04
0.65	0.43	2.71
0.54	0.38	2.40
-0.40	-0.33	1.39
0.33	0.21	2.08
0.38	0.30	2.48
0.50	0.35	3.14
0.64	0.49	3.00
0.52	0.35	2.40
0.38	0.25	2.89
0.60	0.40	1.61
0.77	0.60	1.79
0.89	0.73	1.79
0.78	0.55	3.18
0.73	0.53	3.14
0.30	0.24	2.71
0.53	0.45	3.09
0.74	0.55	3.04
0.08	0.11	2.20
0.67	0.56	2.20
0.71	0.56	2.40
1.00	1.00	1.10
0.87	0.72	2.20
0.61	0.43	2.77
0.73	0.56	2.94
0.52	0.34	2.64
0.58	0.42	2.30
0.68	0.51	2.56
0.38	0.28	2.20
0.27	0.18	2.48
0.10	0.00	2.20
0.47	0.35	2.40
-0.20	0.00	1.39
0.56	0.41	2.83
0.60	0.43	2.08
0.38	0.27	3.56
0.89	0.73	1.79
0.40	0.21	2.08
0.20	0.00	1.39
0.68	0.48	2.48
0.47	0.33	2.20
0.00	-0.05	1.95
0.81	0.62	3.18
0.37	0.33	1.79
0.40	0.33	1.39
0.77	0.61	2.94
-0.80	-0.67	1.39
0.79	0.64	2.08
0.75	0.52	1.95
0.81	0.64	2.56
0.36	0.33	1.95
1.00	1.00	0.69
0.80	0.67	1.39
0.20	0.20	1.61
0.39	0.28	2.56
0.59	0.45	2.40
0.62	0.45	3.42
0.69	0.55	2.48
0.78	0.62	3.00
0.88	0.70	2.71
0.16	0.16	2.30
0.70	0.50	2.77
0.17	0.06	2.83
0.55	0.37	3.40
0.77	0.56	2.30
0.70	0.51	3.58
0.72	0.45	2.48
0.81	0.60	2.30
0.57	0.42	3.00
0.18	0.00	2.20
0.63	0.46	2.94
0.70	0.51	3.04
0.78	0.63	2.64
0.67	0.57	2.08
0.68	0.44	2.56
0.49	0.40	2.83
0.78	0.60	3.18
0.72	0.61	2.20
0.69	0.55	2.48
0.89	0.73	1.79
0.76	0.64	2.08
0.58	0.47	2.83
0.79	0.59	3.18
0.74	0.53	2.40
0.40	0.33	1.39
0.57	0.44	2.20
0.79	0.62	1.95
0.72	0.53	3.58
0.69	0.50	2.08
0.65	0.44	3.33
0.80	0.72	2.20
0.56	0.35	2.40
0.58	0.42	3.26
0.64	0.45	2.64
0.33	0.21	2.64
0.82	0.63	2.89
0.64	0.43	1.95
0.53	0.37	3.78
0.72	0.56	2.20
0.90	0.80	1.61
-0.20	0.00	1.39
0.19	0.07	2.08
0.40	0.33	1.39
0.43	0.33	1.79
0.14	0.05	1.95
1.00	1.00	1.10
0.42	0.39	2.48
0.51	0.41	3.53
0.44	0.30	2.71
0.90	0.80	1.61
0.26	0.20	1.79
0.56	0.45	2.77
0.89	0.71	1.95
0.65	0.47	3.22
0.50	0.40	1.61
0.60	0.33	1.39
0.82	0.61	3.00
0.57	0.50	2.08
0.77	0.60	1.79
0.70	0.60	1.61
-0.20	0.00	1.39
0.40	0.40	1.61
0.64	0.49	2.56
0.82	0.62	1.95
0.05	0.00	2.08
0.47	0.33	2.30
0.76	0.60	2.30
0.43	0.30	2.64
0.60	0.44	2.20
0.55	0.43	2.08
0.86	0.71	2.08
0.60	0.43	2.08
