Spearman	Kendall	MutualInformation
0.52	0.38	2.40
0.62	0.50	2.20
0.46	0.35	2.40
0.73	0.56	2.20
0.65	0.42	2.30
0.60	0.50	2.08
0.45	0.31	2.40
0.59	0.38	2.30
0.28	0.17	2.20
0.47	0.39	2.20
0.50	0.40	1.61
0.25	0.16	2.40
0.43	0.43	2.08
0.56	0.42	2.40
0.76	0.57	2.08
0.86	0.71	2.08
0.33	0.28	2.20
0.66	0.56	2.40
0.37	0.29	2.30
0.21	0.24	2.30
0.21	0.21	2.08
0.57	0.43	1.95
0.78	0.64	2.40
0.18	0.11	2.20
-0.10	-0.07	2.30
0.10	0.06	2.20
0.77	0.60	2.40
0.67	0.50	2.08
0.67	0.53	2.40
0.41	0.27	2.40
0.36	0.24	1.95
0.21	0.14	2.08
0.60	0.47	2.30
0.67	0.50	2.08
0.57	0.35	2.40
0.19	0.14	2.08
0.33	0.14	2.08
0.45	0.38	2.30
0.79	0.56	2.30
0.54	0.33	2.30
0.45	0.38	2.40
0.68	0.47	2.30
0.26	0.20	2.30
0.64	0.47	2.30
0.41	0.35	2.40
0.39	0.29	2.30
0.49	0.47	2.30
0.81	0.64	2.08
0.30	0.28	2.20
0.43	0.33	2.30
0.62	0.50	2.08
0.61	0.42	2.40
0.75	0.56	2.30
0.85	0.67	2.40
0.30	0.24	2.30
0.48	0.39	2.20
0.48	0.36	2.08
0.54	0.33	1.95
0.50	0.39	2.20
0.79	0.64	2.08
0.55	0.36	2.08
0.43	0.36	2.08
0.78	0.67	2.20
0.43	0.33	2.30
0.37	0.33	1.79
0.58	0.42	2.40
0.57	0.44	2.20
0.55	0.43	2.08
0.24	0.21	2.08
0.32	0.24	2.40
0.64	0.62	1.95
0.61	0.42	2.30
0.70	0.56	2.20
0.22	0.33	2.30
0.78	0.58	2.48
0.28	0.22	2.20
0.46	0.33	1.95
0.58	0.45	2.40
0.59	0.47	2.30
0.71	0.62	1.95
0.50	0.42	2.30
0.83	0.64	2.40
0.65	0.49	2.40
0.14	0.13	2.40
0.40	0.33	2.20
0.60	0.50	2.08
0.31	0.21	2.08
0.87	0.69	2.30
0.13	0.16	2.40
0.25	0.24	1.95
0.70	0.56	2.30
0.45	0.36	2.08
0.71	0.52	1.95
0.36	0.27	2.40
0.72	0.51	2.30
0.88	0.75	2.40
0.87	0.78	2.20
0.55	0.38	2.40
0.84	0.73	2.30
0.92	0.78	2.20
0.29	0.21	2.08
0.69	0.49	2.40
0.24	0.16	2.30
0.37	0.24	2.40
0.81	0.64	2.30
0.59	0.47	2.30
0.59	0.38	2.30
0.69	0.57	2.08
0.56	0.45	2.40
0.62	0.42	2.30
0.60	0.49	2.40
0.57	0.50	2.08
0.60	0.51	2.30
0.72	0.53	2.40
0.54	0.38	2.40
0.67	0.50	2.20
0.21	0.21	2.08
0.37	0.33	2.30
0.45	0.29	2.08
0.61	0.53	2.40
0.69	0.50	2.08
0.81	0.64	2.08
0.04	-0.05	1.95
0.74	0.53	2.40
0.92	0.78	2.20
0.36	0.33	1.95
0.67	0.49	2.40
0.48	0.38	2.30
0.46	0.38	2.40
0.67	0.50	2.08
0.42	0.28	2.20
0.26	0.27	2.40
0.87	0.69	2.30
0.78	0.60	2.30
0.23	0.16	2.40
0.54	0.38	2.40
0.45	0.36	2.08
0.87	0.71	2.40
0.55	0.50	2.08
0.17	0.21	2.08
0.22	0.17	2.20
0.58	0.42	2.30
0.57	0.45	2.40
