Spearman	Kendall	MutualInformation
-0.10	-0.07	3.09
-0.24	-0.15	2.77
0.08	0.08	2.56
0.30	0.20	2.40
0.31	0.20	3.00
0.17	0.10	2.89
0.75	0.62	1.95
0.50	0.33	1.95
0.57	0.43	2.08
-1.00	-1.00	0.69
0.15	0.11	2.94
0.60	0.40	1.61
0.30	0.20	3.00
0.71	0.47	1.79
-0.26	-0.20	1.79
0.03	0.03	2.48
0.48	0.36	2.08
0.13	0.06	2.20
0.15	0.10	3.04
0.00	-0.05	1.95
0.83	0.73	1.79
0.14	0.07	2.08
0.80	0.60	1.61
0.56	0.38	2.56
0.35	0.28	2.20
-0.10	-0.04	2.83
0.54	0.47	1.79
0.27	0.22	2.20
-0.66	-0.60	1.79
-0.05	-0.02	2.40
0.37	0.28	2.83
0.11	0.14	1.95
0.56	0.42	2.48
0.77	0.60	1.79
0.94	0.87	1.79
0.46	0.32	3.14
0.50	0.33	1.10
0.39	0.28	3.18
0.30	0.20	3.43
0.35	0.16	2.40
0.21	0.15	2.77
-0.29	-0.21	2.08
0.43	0.33	1.95
0.20	0.13	2.56
0.72	0.50	3.09
0.55	0.47	2.30
0.29	0.14	2.64
0.42	0.30	3.33
0.12	0.08	3.69
0.31	0.21	3.43
0.70	0.50	2.71
0.24	0.17	2.94
0.33	0.25	3.18
0.15	0.13	2.56
0.15	0.10	3.18
0.73	0.56	2.20
0.65	0.48	3.14
0.33	0.18	2.48
0.09	0.10	2.56
-0.05	-0.05	3.58
0.45	0.31	2.71
0.06	0.05	2.77
0.13	0.06	3.00
0.80	0.67	1.39
0.25	0.20	3.26
0.89	0.73	1.79
0.36	0.24	2.30
0.29	0.21	2.08
0.42	0.30	2.94
-0.40	-0.33	1.39
0.35	0.24	3.14
-0.06	-0.03	2.94
0.27	0.22	2.71
0.65	0.45	2.40
-0.33	-0.20	2.40
-0.02	-0.02	3.00
0.51	0.38	2.56
0.81	0.59	2.56
0.42	0.25	3.14
0.16	0.12	2.64
0.38	0.20	2.30
0.56	0.41	3.00
0.68	0.48	3.00
0.49	0.33	3.04
-0.10	-0.07	2.77
0.13	0.07	2.30
0.01	0.02	3.22
0.12	-0.01	2.64
0.20	0.16	3.33
0.38	0.28	3.37
0.13	0.10	2.64
0.33	0.24	2.40
1.00	1.00	1.10
-0.02	0.00	3.26
0.08	0.07	2.89
0.82	0.62	1.95
-1.00	-1.00	0.69
0.22	0.18	3.26
0.09	0.05	3.30
0.17	0.17	2.77
0.22	0.16	3.26
0.31	0.22	2.71
0.12	0.13	2.56
nan	nan	0.00
0.57	0.43	1.95
0.19	0.12	2.71
0.48	0.40	3.18
-0.39	-0.29	2.89
0.14	0.09	3.00
0.25	0.19	2.64
0.80	0.67	1.39
0.19	0.11	2.30
0.18	0.12	3.04
0.13	0.08	2.77
-0.16	-0.11	2.94
-0.21	-0.15	2.48
0.13	0.09	3.18
0.19	0.15	2.89
0.50	0.33	1.10
0.45	0.31	3.00
0.42	0.30	2.64
0.00	-0.03	2.48
0.26	0.17	2.94
0.36	0.33	1.95
-0.07	-0.03	3.30
-0.11	-0.07	2.89
0.27	0.17	2.77
0.07	0.03	2.83
0.80	0.67	1.39
0.41	0.30	3.26
-0.09	-0.07	2.89
0.77	0.60	1.79
0.07	0.05	2.64
-0.12	-0.07	2.77
-0.45	-0.33	2.20
0.33	0.23	2.77
0.37	0.24	2.71
0.25	0.21	3.22
0.21	0.14	2.08
0.02	0.03	3.18
0.24	0.17	3.43
0.80	0.60	1.61
0.14	0.09	3.40
0.41	0.24	2.30
0.66	0.60	1.79
0.24	0.17	3.22
-0.37	-0.21	2.48
-0.03	0.00	2.48
0.40	0.33	1.39
0.24	0.16	2.30
0.58	0.44	2.20
0.18	0.11	2.89
-0.23	-0.20	3.18
0.70	0.60	1.61
-0.37	-0.26	2.83
0.34	0.23	3.09
0.38	0.28	2.56
-0.09	-0.08	3.47
0.30	0.21	3.50
-0.02	-0.06	2.20
0.23	0.17	3.26
-0.50	-0.33	1.10
0.00	0.00	1.39
0.48	0.32	3.26
0.59	0.47	2.71
0.50	0.35	2.71
0.45	0.32	2.64
0.08	0.04	3.18
0.08	0.05	3.18
0.50	0.33	2.20
0.22	0.17	2.20
0.21	0.13	3.18
0.25	0.14	1.95
0.50	0.32	3.00
0.33	0.25	3.30
0.70	0.51	2.56
0.80	0.56	2.20
0.28	0.18	3.56
0.46	0.33	2.48
0.68	0.49	2.56
0.89	0.73	1.79
0.31	0.28	3.04
1.00	1.00	0.69
0.80	0.67	1.39
0.72	0.51	2.56
0.24	0.15	3.22
0.31	0.24	3.18
0.18	0.16	2.40
-0.22	-0.12	3.26
1.00	1.00	1.10
0.25	0.18	2.77
0.83	0.67	2.20
0.52	0.36	3.40
1.00	1.00	1.10
0.31	0.20	1.79
0.56	0.39	2.71
-0.04	-0.01	2.89
0.34	0.24	2.40
-0.12	-0.07	3.33
0.25	0.16	2.30
-1.00	-1.00	0.69
0.12	0.05	2.40
0.42	0.41	2.64
0.28	0.23	2.64
0.00	0.02	3.43
0.51	0.38	3.18
0.06	0.05	3.56
0.00	0.20	1.61
0.32	0.20	3.64
1.00	1.00	1.39
0.20	0.20	1.61
0.29	0.20	3.14
0.33	0.33	2.30
0.80	0.67	1.39
0.00	-0.20	1.61
0.35	0.23	3.04
0.40	0.33	1.39
0.61	0.40	3.09
0.79	0.65	2.64
0.21	0.21	2.08
0.36	0.36	2.08
0.47	0.33	2.20
0.31	0.23	3.22
0.51	0.33	2.89
0.37	0.25	2.83
-0.50	-0.33	1.10
0.25	0.12	2.71
0.40	0.31	3.00
0.56	0.31	2.71
0.44	0.32	2.94
0.50	0.41	2.71
1.00	1.00	1.10
0.50	0.33	1.10
0.46	0.33	1.95
-0.25	-0.16	2.83
-0.06	-0.09	2.71
-0.23	-0.17	2.20
0.50	0.33	1.10
-0.23	-0.19	2.64
0.50	0.33	1.10
0.46	0.34	3.00
0.79	0.71	1.95
0.09	0.07	1.79
0.46	0.35	3.33
-0.24	-0.19	3.14
0.08	0.07	2.30
-0.15	-0.10	2.56
0.59	0.47	2.64
1.00	1.00	1.10
0.12	0.08	3.26
0.40	0.33	1.39
0.42	0.30	3.04
0.26	0.20	2.89
0.52	0.39	2.71
0.24	0.14	2.64
-0.50	-0.33	1.10
0.57	0.36	2.48
1.00	1.00	0.69
1.00	1.00	1.10
0.14	0.05	3.22
0.55	0.45	2.64
0.03	-0.02	2.77
0.39	0.28	2.71
0.23	0.17	2.77
0.54	0.42	2.30
0.60	0.40	1.61
0.29	0.29	2.08
0.41	0.27	3.00
-0.18	-0.14	3.18
1.00	1.00	0.69
0.52	0.33	2.48
-0.13	-0.05	2.64
0.26	0.16	3.09
0.22	0.17	3.00
0.60	0.46	2.89
0.04	0.03	3.56
0.40	0.29	2.08
-0.08	-0.06	3.47
0.15	0.10	2.89
1.00	1.00	0.69
0.34	0.26	3.22
0.19	0.15	2.89
0.82	0.64	2.30
-0.24	-0.29	2.08
0.07	0.07	2.71
-0.12	-0.07	3.18
0.35	0.28	2.71
0.35	0.24	3.30
0.16	0.11	3.14
0.07	0.08	3.61
0.43	0.31	3.22
0.41	0.29	3.50
0.56	0.47	2.30
-0.17	-0.13	3.09
0.47	0.31	2.40
0.16	0.11	3.47
-0.28	-0.22	3.58
0.15	0.16	2.40
-0.06	-0.04	3.87
-0.13	-0.08	2.94
0.74	0.56	2.40
-0.10	-0.07	3.14
-0.30	-0.23	3.22
0.16	0.12	2.77
0.67	0.51	2.30
0.26	0.17	3.47
0.12	0.09	2.71
0.19	0.12	2.83
0.14	0.11	3.97
0.75	0.61	2.20
0.40	0.29	3.43
-0.05	-0.05	2.94
0.34	0.23	3.30
0.50	0.32	2.64
0.71	0.50	2.08
