['[CLS]', 'на', 'болотах', 'оставался', 'еще', 'лед', 'но', 'на', 'берегах', 'реки', 'появилась', 'трава', '[SEP]']	[0.12617692351341248, 0.05480610951781273, 0.052166495472192764, 0.0538804717361927, 0.05022116005420685, 0.04630938544869423, 0.12979264557361603, 0.047218792140483856, 0.05102132633328438, 0.06298916786909103, 0.052277397364377975, 0.04471086710691452, 0.2284291833639145]
['[CLS]', 'он', 'ловко', 'поддел', 'концом', 'ножа', 'замочки', 'и', 'они', 'отскочили', '[SEP]']	[0.045141756534576416, 0.08316006511449814, 0.08184288814663887, 0.07262721657752991, 0.052837397903203964, 0.054359205067157745, 0.10629591718316078, 0.04538571089506149, 0.04930733144283295, 0.15762821957468987, 0.25141432881355286]
['[CLS]', 'ваня', 'раскрыл', 'было', 'рот', 'но', 'понял', 'что', 'не', 'так', 'и', 'промолчал', '[SEP]']	[0.034805018454790115, 0.13615643233060837, 0.07729687541723251, 0.06466751545667648, 0.12334693223237991, 0.0397566482424736, 0.03530260920524597, 0.04062354937195778, 0.03614654392004013, 0.036469731479883194, 0.03994080796837807, 0.13048547133803368, 0.20500198006629944]
['[CLS]', 'сделав', 'мне', 'знак', 'помолчать', 'он', 'приложил', 'ухо', 'к', 'двери', '[SEP]']	[0.08657882362604141, 0.08330252766609192, 0.07268970459699631, 0.07430043071508408, 0.18777623400092125, 0.09292967617511749, 0.09492465853691101, 0.05573875084519386, 0.04664899781346321, 0.07083887606859207, 0.13427145779132843]
['[CLS]', 'я', 'сделала', 'шаг', 'навстречу', 'приехала', 'к', 'ней', 'попросив', 'выслушать', 'меня', '[SEP]']	[0.09860119223594666, 0.07044792175292969, 0.0662938803434372, 0.06587830185890198, 0.05563409999012947, 0.09084399044513702, 0.04540593922138214, 0.07568898051977158, 0.07899092137813568, 0.1442802995443344, 0.0983474999666214, 0.10958698391914368]
['[CLS]', 'дорога', 'ведет', 'в', 'глухой', 'лес', 'петляя', 'по', 'склонам', '[SEP]']	[0.1386558562517166, 0.08281275629997253, 0.06648000329732895, 0.05929841473698616, 0.09158234298229218, 0.06373411417007446, 0.14614295959472656, 0.08036646991968155, 0.12485179305076599, 0.14607533812522888]
['[CLS]', 'не', 'поручайте', 'мужу', 'ухаживать', 'за', 'рыбками', 'в', 'аквариуме', 'он', 'обязательно', 'забудет', '[SEP]']	[0.08730588853359222, 0.07104650139808655, 0.10043381154537201, 0.04688512533903122, 0.04429785534739494, 0.040940430015325546, 0.10061077028512955, 0.06934348493814468, 0.06675080209970474, 0.07626038044691086, 0.06105343624949455, 0.11285412311553955, 0.12221744656562805]
['[CLS]', 'выходя', 'замуж', 'ты', 'надеялась', 'обрести', 'спокойствие', 'уютный', 'дом', 'крепкую', 'семью', '[SEP]']	[0.18726330995559692, 0.04436960816383362, 0.04442392662167549, 0.058305803686380386, 0.09152425453066826, 0.046367209404706955, 0.060070279985666275, 0.08379469066858292, 0.04155517742037773, 0.09728769958019257, 0.03772763907909393, 0.20731030404567719]
['[CLS]', 'и', 'не', 'надо', 'ставить', 'это', 'целью', 'всей', 'своей', 'жизни', '[SEP]']	[0.08184246718883514, 0.11285196244716644, 0.07397820055484772, 0.09433592110872269, 0.07768145948648453, 0.08380795270204544, 0.06722021847963333, 0.07874532788991928, 0.08070366084575653, 0.12575842440128326, 0.1230742558836937]
['[CLS]', 'у', 'нас', 'в', 'волгограде', 'многие', 'придерживаются', 'иной', 'точки', 'зрения', '[SEP]']	[0.06082199513912201, 0.05808722600340843, 0.06725187599658966, 0.12579676508903503, 0.28123560547828674, 0.07208322733640671, 0.058341942727565765, 0.05807584896683693, 0.05944700911641121, 0.07178639620542526, 0.08707211911678314]
['[CLS]', 'очень', 'тогда', 'злые', 'попадались', 'люди', '[SEP]']	[0.025120697915554047, 0.02720995992422104, 0.038727208971977234, 0.030272366479039192, 0.06510113552212715, 0.030915578827261925, 0.7826530933380127]
['[CLS]', 'на', 'привале', 'у', 'озера', 'юный', 'турист', 'вручил', 'товарищам', 'ведро', 'и', 'кувшин', '[SEP]']	[0.015789171680808067, 0.01671641878783703, 0.034927261993288994, 0.016503147780895233, 0.019010324031114578, 0.015610173344612122, 0.016113298013806343, 0.01629805937409401, 0.022565485909581184, 0.013174130581319332, 0.0168256014585495, 0.017590736970305443, 0.7788761854171753]
['[CLS]', 'наживка', 'на', 'которую', 'он', 'ловил', 'рыбу', 'быстро', 'закончилась', '[SEP]']	[0.050258371978998184, 0.16043124347925186, 0.1030987948179245, 0.07666505128145218, 0.09924369305372238, 0.11997229233384132, 0.07393264025449753, 0.10856357216835022, 0.13246037065982819, 0.07537398487329483]
['[CLS]', 'мне', 'было', 'лень', 'идти', 'на', 'стоянку', 'и', 'сметать', 'снег', 'с', 'машины', '[SEP]']	[0.03759664669632912, 0.08700492978096008, 0.06347893178462982, 0.08692194148898125, 0.05014296621084213, 0.05024773254990578, 0.0537845715880394, 0.043169859796762466, 0.0872727781534195, 0.042727623134851456, 0.042141158133745193, 0.07672649621963501, 0.27878430485725403]
['[CLS]', 'город', 'раскинувшийся', 'вдоль', 'реки', 'состоял', 'из', 'двух', 'частей', '[SEP]']	[0.11161528527736664, 0.18392279744148254, 0.23377836495637894, 0.0723930075764656, 0.06696999818086624, 0.07343652099370956, 0.05525948852300644, 0.06264291703701019, 0.06340388208627701, 0.0765778049826622]
['[CLS]', 'в', 'каждом', 'углу', 'комнаты', 'сидели', 'по', 'две', 'кошки', '[SEP]']	[0.009592358022928238, 0.012713590636849403, 0.014697469770908356, 0.013655036687850952, 0.012230821885168552, 0.014839869923889637, 0.013710102066397667, 0.013353049755096436, 0.011768694967031479, 0.883438766002655]
['[CLS]', 'здесь', 'потребуется', 'врач', 'который', 'будет', 'лечить', 'заболевших', 'в', 'экспедиции', '[SEP]']	[0.049173738807439804, 0.19725152850151062, 0.07772829383611679, 0.07796955108642578, 0.08436598628759384, 0.06238310784101486, 0.054326385259628296, 0.07165499776601791, 0.0873432606458664, 0.10542581975460052, 0.13237744569778442]
['[CLS]', 'у', 'моего', 'отца', 'был', 'счет', 'в', 'швейцарском', 'банке', 'он', 'был', 'лесоторговец', '[SEP]']	[0.1594107747077942, 0.03809233754873276, 0.05754274129867554, 0.03637198358774185, 0.0511377714574337, 0.03958560526371002, 0.04526648297905922, 0.07240404933691025, 0.05327930301427841, 0.06864377111196518, 0.04458126798272133, 0.16917074844241142, 0.16451309621334076]
['[CLS]', 'количество', 'денег', 'в', 'обороте', 'выросло', 'благодаря', 'союзу', 'с', 'американским', 'банком', '[SEP]']	[0.004463715944439173, 0.006630834192037582, 0.006973376497626305, 0.006926684640347958, 0.006539707072079182, 0.0071121579967439175, 0.006573883350938559, 0.006593507248908281, 0.006766005419194698, 0.0075016627088189125, 0.006081341300159693, 0.9278370141983032]
['[CLS]', 'возможности', 'этих', 'перемен', 'будут', 'обсуждаться', 'в', 'париже', 'летом', 'будущего', 'года', '[SEP]']	[0.08734024316072464, 0.07189720869064331, 0.08063994348049164, 0.07191061973571777, 0.05541690066456795, 0.055021982640028, 0.05897539108991623, 0.27062051743268967, 0.045310698449611664, 0.05485289916396141, 0.07815026491880417, 0.06986313313245773]
['[CLS]', 'применение', 'микросхемы', 'даст', 'возможность', 'уменьшить', 'вес', 'бытовой', 'электроники', '[SEP]']	[0.15039078891277313, 0.08953872323036194, 0.07250406593084335, 0.08800896257162094, 0.0969068706035614, 0.07205780595541, 0.05886567011475563, 0.06412210315465927, 0.06937268376350403, 0.23823221027851105]
['[CLS]', 'однако', 'здесь', 'есть', 'и', 'свои', 'актуальные', 'проблемы', '[SEP]']	[0.010156042873859406, 0.011086156591773033, 0.01437403168529272, 0.013426186516880989, 0.012103594839572906, 0.016301393508911133, 0.01332534197717905, 0.013405420817434788, 0.8958216309547424]
['[CLS]', 'если', 'мы', 'позволим', 'этим', 'людям', 'уйти', 'наши', 'проекты', 'станут', 'гораздо', 'беднее', '[SEP]']	[0.06084593012928963, 0.058201663196086884, 0.07529620081186295, 0.100999366492033, 0.06988555192947388, 0.05099060758948326, 0.06951306760311127, 0.06454531848430634, 0.054949115961790085, 0.04394783079624176, 0.041006408631801605, 0.08410760760307312, 0.2257111519575119]
['[CLS]', 'он', 'признает', 'право', 'каждого', 'жить', 'так', 'как', 'ему', 'удобно', '[SEP]']	[0.008779842406511307, 0.011456639505922794, 0.014760511927306652, 0.0127004599198699, 0.012853644788265228, 0.014644687995314598, 0.012020284309983253, 0.012676120735704899, 0.013207939453423023, 0.011740882880985737, 0.8751589059829712]
['[CLS]', 'власть', 'судов', 'была', 'такой', 'узкой', 'что', 'они', 'ничего', 'не', 'решали', '[SEP]']	[0.0038972338661551476, 0.00635038735345006, 0.006095307879149914, 0.006638901773840189, 0.006265363655984402, 0.00400012731552124, 0.005997462663799524, 0.00635586166754365, 0.005953588057309389, 0.005524580832570791, 0.005495034623891115, 0.9374263286590576]
['[CLS]', 'тема', 'эта', 'в', 'то', 'время', 'была', 'новой', 'для', 'многих', '[SEP]']	[0.005012974608689547, 0.006632089614868164, 0.007331514731049538, 0.00710289878770709, 0.007856315933167934, 0.007240860257297754, 0.007941941730678082, 0.007216136436909437, 0.0060075088404119015, 0.007020662538707256, 0.9306368827819824]
['[CLS]', 'каждое', 'утро', 'на', 'самый', 'верх', 'крыши', 'мгу', 'поднимается', 'симпатичная', 'научная', 'сотрудница', '[SEP]']	[0.05664597079157829, 0.0528285838663578, 0.04045453667640686, 0.04144732281565666, 0.05439324676990509, 0.04779428243637085, 0.18182465434074402, 0.14793913066387177, 0.06022968888282776, 0.09323956072330475, 0.058944620192050934, 0.06151735782623291, 0.10274118185043335]
