Spearman	Kendall	MutualInformation
0.70	0.53	3.00
0.68	0.51	2.30
0.86	0.75	2.40
0.85	0.69	2.64
0.95	0.87	2.30
0.66	0.46	2.89
0.56	0.33	2.48
0.72	0.60	2.71
0.82	0.68	2.71
0.67	0.49	3.18
0.88	0.70	2.89
0.60	0.42	2.94
0.76	0.64	2.48
0.80	0.62	3.00
0.80	0.72	2.20
0.75	0.58	2.48
0.86	0.72	2.56
0.76	0.60	2.94
0.69	0.54	2.56
0.58	0.45	2.48
0.71	0.56	2.30
0.94	0.82	2.30
0.80	0.60	3.30
0.90	0.80	1.61
0.84	0.63	2.77
0.59	0.45	2.71
0.68	0.53	3.26
0.85	0.70	2.48
0.89	0.70	2.71
0.87	0.70	2.48
0.82	0.62	1.95
0.90	0.76	2.48
0.76	0.55	3.04
0.84	0.70	3.04
0.76	0.62	2.77
0.67	0.51	2.94
0.63	0.48	3.00
0.73	0.58	3.33
0.80	0.67	1.39
0.78	0.62	2.71
0.47	0.35	2.40
0.08	0.09	2.48
0.83	0.65	3.00
0.78	0.59	2.89
0.81	0.61	2.48
0.79	0.65	3.26
0.76	0.56	3.30
0.68	0.49	2.83
0.23	0.18	2.48
0.84	0.70	2.48
0.72	0.54	2.83
0.69	0.53	3.14
0.89	0.72	3.04
0.78	0.67	2.56
0.78	0.64	2.56
0.78	0.59	2.94
0.87	0.69	2.56
0.67	0.47	3.14
0.54	0.38	3.91
0.76	0.60	3.47
0.82	0.65	3.30
0.67	0.49	2.83
0.60	0.45	2.71
0.64	0.45	2.40
0.61	0.45	2.94
0.77	0.57	3.26
0.76	0.60	3.00
0.93	0.78	2.77
0.77	0.64	2.30
0.72	0.58	2.94
0.87	0.70	2.94
0.94	0.87	1.79
0.82	0.65	3.37
0.70	0.53	3.53
0.71	0.56	3.04
0.56	0.41	3.56
0.77	0.56	3.04
0.54	0.45	2.64
0.81	0.65	2.64
0.73	0.59	3.18
0.47	0.35	3.47
0.69	0.52	3.50
0.75	0.62	2.83
0.79	0.57	3.53
0.72	0.54	2.94
0.75	0.56	2.30
0.76	0.57	2.77
0.78	0.59	3.64
0.79	0.60	3.26
