Spearman	Kendall	MutualInformation
0.25	0.16	2.40
0.65	0.56	2.20
0.67	0.53	2.40
0.72	0.50	2.20
0.77	0.60	2.30
0.55	0.43	2.08
0.35	0.24	2.40
0.60	0.42	2.30
0.12	0.06	2.20
0.73	0.56	2.20
0.30	0.20	1.61
0.35	0.31	2.40
0.48	0.36	2.08
0.68	0.53	2.40
0.76	0.71	2.08
0.90	0.79	2.08
0.52	0.33	2.20
0.54	0.42	2.40
0.32	0.24	2.30
0.41	0.29	2.30
0.45	0.36	2.08
0.75	0.62	1.95
-0.01	-0.05	2.40
0.20	0.06	2.20
0.38	0.29	2.30
0.67	0.56	2.20
0.14	0.13	2.40
0.67	0.50	2.08
0.61	0.42	2.40
0.63	0.42	2.40
0.64	0.52	1.95
0.36	0.21	2.08
-0.08	-0.02	2.30
0.76	0.57	2.08
0.85	0.71	2.40
0.24	0.21	2.08
0.52	0.29	2.08
0.16	0.16	2.30
0.77	0.60	2.30
0.50	0.33	2.30
0.32	0.27	2.40
0.35	0.24	2.30
0.39	0.42	2.30
0.56	0.29	2.30
0.37	0.27	2.40
0.53	0.33	2.30
0.64	0.47	2.30
0.29	0.21	2.08
0.17	0.17	2.20
0.33	0.24	2.30
0.29	0.21	2.08
0.58	0.38	2.40
0.78	0.56	2.30
0.74	0.60	2.40
0.03	0.02	2.30
0.15	0.06	2.20
0.62	0.57	2.08
0.64	0.52	1.95
0.45	0.39	2.20
0.93	0.86	2.08
0.43	0.43	2.08
0.31	0.29	2.08
0.22	0.22	2.20
0.12	0.07	2.30
0.43	0.47	1.79
0.48	0.38	2.40
0.72	0.61	2.20
0.40	0.36	2.08
0.43	0.43	2.08
0.11	0.09	2.40
0.54	0.43	1.95
0.71	0.56	2.30
0.12	0.11	2.20
0.37	0.20	2.30
0.52	0.48	2.48
0.50	0.39	2.20
0.00	-0.05	1.95
0.45	0.27	2.40
0.59	0.42	2.30
0.68	0.52	1.95
0.72	0.51	2.30
0.58	0.42	2.40
0.79	0.64	2.40
0.43	0.27	2.40
0.32	0.28	2.20
0.33	0.29	2.08
-0.12	0.07	2.08
0.53	0.42	2.30
0.12	0.13	2.40
0.32	0.24	1.95
0.45	0.33	2.30
0.83	0.71	2.08
0.79	0.62	1.95
0.39	0.27	2.40
0.89	0.73	2.30
0.75	0.53	2.40
0.87	0.78	2.20
0.34	0.24	2.40
0.65	0.56	2.30
0.55	0.39	2.20
0.33	0.29	2.08
0.73	0.53	2.40
0.82	0.60	2.30
0.67	0.49	2.40
0.66	0.38	2.30
0.28	0.16	2.30
0.61	0.51	2.30
0.55	0.43	2.08
0.55	0.38	2.40
0.61	0.42	2.30
0.76	0.56	2.40
0.48	0.43	2.08
0.49	0.38	2.30
0.52	0.31	2.40
0.55	0.42	2.40
0.77	0.56	2.20
0.24	0.21	2.08
0.33	0.24	2.30
0.52	0.43	2.08
0.79	0.64	2.40
0.67	0.50	2.08
0.86	0.71	2.08
0.04	-0.05	1.95
0.14	0.09	2.40
0.80	0.67	2.20
0.64	0.43	1.95
0.72	0.49	2.40
0.39	0.29	2.30
0.45	0.31	2.40
0.76	0.64	2.08
0.62	0.44	2.20
0.25	0.16	2.40
0.84	0.73	2.30
0.82	0.64	2.30
0.18	0.16	2.40
0.65	0.45	2.40
0.86	0.64	2.08
0.64	0.42	2.40
0.05	0.00	2.08
0.60	0.50	2.08
0.15	0.11	2.20
0.92	0.78	2.30
0.34	0.24	2.40
