Spearman	Kendall	MutualInformation
0.71	0.54	3.00
0.55	0.42	2.30
0.83	0.64	2.40
0.81	0.69	2.64
0.90	0.82	2.30
0.81	0.62	2.89
0.31	0.15	2.48
0.69	0.50	2.71
0.72	0.56	2.71
0.62	0.42	3.18
0.81	0.63	2.89
0.71	0.53	2.94
0.83	0.73	2.48
0.74	0.57	3.00
0.70	0.61	2.20
0.68	0.55	2.48
0.70	0.54	2.56
0.72	0.53	2.94
0.57	0.44	2.56
0.68	0.52	2.48
0.85	0.73	2.30
0.78	0.60	2.30
0.76	0.57	3.30
0.80	0.60	1.61
0.79	0.60	2.77
0.61	0.49	2.71
0.65	0.54	3.26
0.81	0.61	2.48
0.81	0.62	2.71
0.77	0.61	2.48
0.64	0.43	1.95
0.91	0.79	2.48
0.76	0.57	3.04
0.77	0.59	3.04
0.66	0.50	2.77
0.74	0.60	2.94
0.61	0.47	3.00
0.69	0.54	3.33
0.80	0.67	1.39
0.69	0.52	2.71
-0.01	-0.05	2.40
0.27	0.21	2.48
0.55	0.34	3.00
0.71	0.56	2.89
0.74	0.52	2.48
0.74	0.61	3.26
0.76	0.55	3.30
0.76	0.57	2.83
-0.08	-0.06	2.48
0.78	0.61	2.48
0.84	0.62	2.83
0.63	0.45	3.14
0.84	0.64	3.04
0.78	0.62	2.56
0.74	0.54	2.56
0.76	0.56	2.94
0.77	0.59	2.56
0.69	0.53	3.14
0.54	0.37	3.91
0.72	0.54	3.47
0.78	0.60	3.30
0.67	0.50	2.83
0.66	0.45	2.71
0.51	0.31	2.40
0.62	0.46	2.94
0.74	0.56	3.26
0.66	0.52	3.00
0.92	0.77	2.77
0.73	0.56	2.30
0.80	0.64	2.94
0.75	0.56	2.94
0.77	0.60	1.79
0.81	0.64	3.37
0.83	0.63	3.53
0.66	0.49	3.04
0.62	0.45	3.56
0.71	0.49	3.04
0.67	0.54	2.64
0.54	0.41	2.64
0.62	0.46	3.18
0.58	0.45	3.47
0.67	0.50	3.50
0.64	0.49	2.83
0.83	0.64	3.53
0.63	0.46	2.94
0.78	0.56	2.30
0.72	0.55	2.77
0.61	0.46	3.64
0.76	0.59	3.26
