Spearman	Kendall	MutualInformation
0.20	0.20	2.40
0.67	0.61	2.20
0.72	0.49	2.40
0.80	0.61	2.20
0.59	0.38	2.30
0.33	0.21	2.08
0.48	0.31	2.40
0.75	0.51	2.30
0.05	0.00	2.20
0.57	0.44	2.20
0.50	0.40	1.61
0.47	0.31	2.40
0.76	0.57	2.08
0.55	0.38	2.40
0.55	0.43	2.08
0.40	0.29	2.08
0.63	0.50	2.20
0.50	0.38	2.40
0.38	0.29	2.30
0.55	0.47	2.30
0.38	0.14	2.08
0.18	0.05	1.95
0.20	0.20	2.40
-0.10	-0.17	2.20
0.48	0.33	2.30
0.63	0.50	2.20
0.25	0.27	2.40
0.43	0.36	2.08
0.63	0.45	2.40
0.65	0.45	2.40
0.79	0.71	1.95
0.19	0.00	2.08
0.13	0.07	2.30
0.79	0.57	2.08
0.61	0.42	2.40
0.10	0.07	2.08
0.64	0.50	2.08
0.36	0.29	2.30
0.38	0.38	2.30
0.68	0.64	2.30
0.45	0.35	2.40
0.37	0.29	2.30
0.41	0.29	2.30
0.59	0.38	2.30
0.55	0.38	2.40
0.76	0.56	2.30
0.24	0.20	2.30
0.50	0.43	2.08
0.42	0.28	2.20
0.50	0.38	2.30
0.10	0.07	2.08
0.55	0.42	2.40
0.65	0.51	2.30
0.76	0.64	2.40
-0.01	-0.02	2.30
0.28	0.11	2.20
0.74	0.57	2.08
0.54	0.43	1.95
0.53	0.44	2.20
0.86	0.79	2.08
0.81	0.64	2.08
0.52	0.43	2.08
0.40	0.39	2.20
0.20	0.16	2.30
0.60	0.47	1.79
0.37	0.31	2.40
0.78	0.61	2.20
0.57	0.50	2.08
0.57	0.50	2.08
0.15	0.13	2.40
0.54	0.43	1.95
0.82	0.64	2.30
0.50	0.39	2.20
0.30	0.29	2.30
0.38	0.27	2.48
0.50	0.39	2.20
0.14	0.14	1.95
0.78	0.67	2.40
0.38	0.29	2.30
0.61	0.52	1.95
0.52	0.33	2.30
0.83	0.64	2.40
0.63	0.45	2.40
0.51	0.35	2.40
0.57	0.44	2.20
0.24	0.21	2.08
0.05	0.07	2.08
0.53	0.42	2.30
0.14	0.13	2.40
0.39	0.24	1.95
0.44	0.33	2.30
0.74	0.57	2.08
0.61	0.52	1.95
0.33	0.24	2.40
0.71	0.56	2.30
0.70	0.53	2.40
0.87	0.78	2.20
0.63	0.45	2.40
0.77	0.64	2.30
0.07	0.00	2.20
0.31	0.29	2.08
0.96	0.89	2.40
0.78	0.64	2.30
0.85	0.71	2.40
0.84	0.73	2.30
0.27	0.20	2.30
0.03	-0.02	2.30
0.29	0.21	2.08
0.68	0.53	2.40
0.45	0.29	2.30
0.72	0.56	2.40
0.57	0.36	2.08
0.49	0.38	2.30
0.73	0.56	2.40
0.52	0.38	2.40
0.53	0.33	2.20
0.24	0.14	2.08
0.38	0.29	2.30
0.36	0.21	2.08
0.75	0.60	2.40
0.50	0.36	2.08
0.95	0.86	2.08
-0.07	-0.14	1.95
0.38	0.38	2.40
0.68	0.56	2.20
0.46	0.33	1.95
0.84	0.67	2.40
0.48	0.42	2.30
0.82	0.64	2.40
0.76	0.64	2.08
0.53	0.39	2.20
0.35	0.31	2.40
0.93	0.87	2.30
0.76	0.56	2.30
0.27	0.20	2.40
0.63	0.53	2.40
0.76	0.71	2.08
0.71	0.53	2.40
0.21	0.14	2.08
0.62	0.43	2.08
0.27	0.22	2.20
0.88	0.73	2.30
0.42	0.31	2.40
