Spearman	Kendall	MutualInformation
0.39	0.23	3.09
0.57	0.39	3.09
0.67	0.48	2.77
0.50	0.40	1.61
0.53	0.41	2.56
0.81	0.62	2.77
0.75	0.52	2.48
0.78	0.56	2.40
0.52	0.34	3.00
0.61	0.45	2.89
0.79	0.71	1.95
0.64	0.43	1.95
0.55	0.43	2.08
-1.00	-1.00	0.69
0.38	0.25	2.94
0.80	0.60	1.61
0.40	0.27	3.00
-0.60	-0.47	1.79
0.84	0.72	2.77
-0.03	-0.07	1.79
-0.03	-0.03	2.48
0.33	0.29	2.08
0.28	0.11	2.20
0.87	0.69	3.04
0.79	0.62	1.95
0.65	0.47	2.30
-0.66	-0.47	1.79
0.29	0.21	2.08
0.60	0.40	1.61
0.40	0.26	2.56
0.57	0.44	2.20
1.00	1.00	0.69
0.39	0.26	2.83
0.50	0.33	1.10
0.26	0.20	1.79
0.28	0.22	2.20
0.14	0.33	1.79
-0.11	-0.09	2.40
0.86	0.68	2.83
-0.19	-0.16	2.40
0.68	0.52	1.95
0.69	0.55	2.48
0.43	0.20	1.79
0.60	0.47	1.79
0.59	0.43	3.37
0.47	0.31	3.14
0.50	0.33	1.10
0.55	0.41	3.18
0.56	0.42	3.43
0.60	0.41	2.56
0.53	0.38	2.40
0.43	0.33	2.77
0.50	0.43	2.08
0.50	0.33	1.95
0.52	0.36	2.56
0.60	0.44	3.09
0.18	0.16	2.30
0.67	0.54	2.64
0.41	0.31	3.69
0.43	0.28	3.43
0.47	0.35	3.37
0.55	0.39	2.71
0.39	0.25	2.94
0.57	0.39	3.18
0.31	0.16	2.64
-0.05	-0.05	2.56
0.36	0.25	3.18
0.45	0.28	2.20
0.80	0.64	3.14
0.38	0.27	2.48
0.63	0.46	2.56
0.36	0.26	3.58
0.52	0.42	3.08
0.41	0.30	2.71
0.14	0.07	2.77
0.48	0.33	3.00
0.80	0.67	1.39
0.64	0.52	2.64
0.49	0.35	3.26
0.77	0.60	1.79
0.71	0.47	2.30
-0.19	-0.14	2.08
0.37	0.33	2.94
0.74	0.54	3.04
0.20	0.00	1.39
0.54	0.38	3.14
0.62	0.47	2.94
0.72	0.54	2.71
