Spearman	Kendall	MutualInformation
0.70	0.51	3.09
0.59	0.46	3.09
0.75	0.53	2.77
0.90	0.80	1.61
0.52	0.36	2.56
0.91	0.73	2.77
0.87	0.73	2.48
0.75	0.56	2.40
0.70	0.52	3.00
0.50	0.31	2.89
0.93	0.81	1.95
0.82	0.71	1.95
0.83	0.71	2.08
-1.00	-1.00	0.69
0.68	0.47	2.94
0.50	0.20	1.61
0.65	0.42	3.00
0.54	0.47	1.79
0.80	0.65	2.77
0.49	0.33	1.79
0.36	0.24	2.48
0.19	0.21	2.08
0.68	0.44	2.20
0.79	0.61	3.04
0.89	0.81	1.95
0.85	0.73	2.30
0.03	0.07	1.79
0.74	0.64	2.08
0.50	0.20	1.61
0.52	0.36	2.56
0.82	0.61	2.20
1.00	1.00	0.69
0.42	0.31	2.83
0.50	0.33	1.10
0.66	0.60	1.79
0.72	0.56	2.20
0.60	0.47	1.79
-0.28	-0.24	2.40
0.86	0.68	2.83
0.29	0.27	2.40
0.86	0.71	1.95
0.79	0.61	2.48
0.77	0.60	1.79
0.60	0.47	1.79
0.72	0.52	3.37
0.22	0.13	3.14
0.50	0.33	1.10
0.78	0.54	3.18
0.80	0.61	3.43
0.83	0.69	2.56
0.70	0.53	2.40
0.59	0.43	2.77
0.81	0.71	2.08
0.54	0.24	1.95
0.46	0.31	2.56
0.70	0.48	3.09
0.56	0.29	2.30
0.56	0.41	2.64
0.52	0.40	3.69
0.72	0.53	3.43
0.86	0.67	3.37
0.67	0.49	2.71
0.36	0.26	2.94
0.70	0.54	3.18
0.83	0.67	2.64
0.60	0.38	2.56
0.82	0.67	3.18
0.70	0.50	2.20
0.75	0.56	3.14
0.72	0.55	2.48
0.72	0.49	2.56
0.67	0.47	3.58
0.81	0.63	3.08
0.82	0.64	2.71
0.80	0.58	2.77
0.26	0.20	3.00
1.00	1.00	1.39
0.76	0.56	2.64
0.53	0.41	3.26
0.66	0.60	1.79
0.36	0.29	2.30
0.21	0.14	2.08
0.57	0.43	2.94
0.79	0.59	3.04
0.40	0.33	1.39
0.68	0.48	3.14
0.78	0.63	2.94
0.84	0.68	2.71
0.94	0.85	2.40
0.40	0.24	2.40
0.53	0.35	3.00
0.80	0.62	2.56
0.72	0.54	3.30
0.80	0.60	2.71
0.80	0.62	2.56
0.79	0.57	3.14
0.30	0.21	2.64
0.66	0.51	2.30
0.65	0.43	3.00
0.69	0.55	3.00
0.86	0.70	3.04
0.67	0.48	2.77
0.20	0.11	2.30
0.77	0.59	3.22
0.86	0.67	2.64
0.53	0.36	3.33
0.73	0.61	3.37
0.88	0.67	2.56
0.63	0.50	2.20
0.72	0.58	2.64
0.35	0.24	2.40
1.00	1.00	1.10
0.83	0.61	3.26
0.74	0.49	2.56
0.56	0.40	2.89
0.43	0.33	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.67	0.52	3.26
0.51	0.36	3.30
0.59	0.43	2.77
0.71	0.51	3.26
0.65	0.49	2.71
0.70	0.50	3.22
0.47	0.36	2.56
nan	nan	0.00
0.57	0.43	1.95
0.48	0.37	2.71
0.30	0.20	1.61
0.70	0.50	3.22
0.81	0.62	2.89
0.69	0.56	3.00
0.54	0.45	2.64
0.00	0.00	1.39
0.62	0.44	3.04
0.59	0.40	2.94
0.22	0.15	2.48
0.71	0.54	3.18
0.78	0.60	2.64
0.67	0.49	2.89
0.50	0.33	1.10
0.63	0.42	3.00
0.78	0.65	2.64
0.85	0.67	2.48
0.85	0.67	2.94
0.71	0.52	1.95
0.69	0.49	3.30
0.86	0.71	2.40
0.75	0.59	2.89
0.67	0.50	2.08
0.85	0.67	2.77
0.73	0.53	2.77
0.75	0.53	2.83
1.00	1.00	1.39
0.66	0.48	3.26
0.64	0.49	2.89
0.66	0.60	1.79
0.73	0.54	2.64
0.84	0.65	2.77
0.38	0.22	2.20
0.58	0.43	2.77
0.64	0.46	2.89
0.83	0.63	2.77
0.77	0.66	2.71
0.75	0.59	2.56
0.73	0.56	3.22
0.90	0.79	2.08
0.61	0.44	3.18
0.69	0.49	3.43
1.00	1.00	1.61
0.36	0.24	2.30
0.66	0.47	1.79
0.72	0.53	3.22
0.69	0.48	2.48
0.67	0.45	2.48
0.20	0.00	1.39
0.65	0.42	2.30
0.57	0.50	2.20
0.75	0.57	2.89
0.91	0.74	3.18
0.72	0.49	3.14
0.80	0.60	1.61
0.43	0.31	2.83
0.73	0.57	3.09
0.77	0.59	2.56
0.67	0.48	3.47
0.65	0.47	3.50
0.67	0.56	2.20
0.50	0.33	1.10
0.20	0.00	1.39
0.69	0.50	3.26
0.76	0.58	2.71
0.82	0.58	2.71
0.86	0.71	2.64
0.88	0.67	3.04
0.67	0.49	3.18
0.67	0.49	3.18
0.82	0.61	2.20
-0.05	-0.06	2.20
0.85	0.67	3.18
0.96	0.90	1.95
0.58	0.46	3.00
0.74	0.58	3.30
0.78	0.58	3.14
0.52	0.41	2.56
0.47	0.39	2.20
0.80	0.67	1.39
0.75	0.56	3.56
0.55	0.39	2.48
0.63	0.46	3.71
0.78	0.56	3.00
0.87	0.74	2.56
0.43	0.20	1.79
0.75	0.57	3.04
-1.00	-1.00	0.69
1.00	1.00	1.39
0.86	0.67	2.56
0.70	0.49	3.22
0.68	0.53	3.18
0.55	0.35	2.40
0.71	0.51	3.26
0.84	0.63	2.89
1.00	1.00	1.10
0.65	0.47	2.77
0.93	0.79	2.08
0.75	0.56	2.20
0.62	0.45	3.40
1.00	1.00	1.10
0.31	0.20	1.79
0.62	0.41	2.71
0.26	0.15	2.89
0.64	0.49	2.40
0.71	0.51	3.33
0.89	0.78	2.30
1.00	1.00	0.69
0.90	0.75	2.40
0.60	0.38	2.64
0.63	0.43	2.64
0.42	0.25	3.43
0.72	0.55	3.18
0.66	0.52	3.56
0.60	0.40	1.61
0.79	0.59	3.64
1.00	1.00	1.39
-0.30	-0.20	1.61
0.76	0.53	3.14
0.45	0.29	2.30
1.00	1.00	1.39
0.30	0.20	1.61
0.81	0.60	3.04
0.80	0.67	1.39
0.78	0.61	2.89
0.73	0.55	3.09
0.64	0.43	2.08
0.81	0.71	2.08
0.93	0.83	2.20
0.68	0.51	3.22
0.46	0.32	2.89
0.80	0.62	2.83
1.00	1.00	1.10
0.65	0.49	2.71
0.79	0.60	3.00
0.58	0.41	2.71
0.83	0.68	2.94
0.58	0.47	2.71
0.60	0.44	3.22
0.50	0.33	1.10
0.50	0.33	1.10
0.61	0.48	2.77
0.86	0.71	1.95
0.14	0.13	2.83
0.79	0.67	2.56
0.64	0.43	2.71
0.67	0.50	2.20
0.50	0.33	1.10
-1.00	-1.00	0.69
0.64	0.47	2.64
0.50	0.33	1.10
0.66	0.49	3.00
0.04	-0.05	1.95
0.94	0.87	1.79
0.39	0.29	3.33
0.79	0.57	3.14
0.80	0.60	1.61
0.68	0.49	2.56
0.70	0.49	2.64
0.50	0.33	1.10
0.57	0.43	3.26
0.20	0.00	1.39
0.76	0.53	3.04
0.83	0.63	2.89
0.82	0.68	2.71
0.71	0.49	2.64
1.00	1.00	1.10
0.85	0.67	2.48
-1.00	-1.00	0.69
0.63	0.47	2.83
0.91	0.75	2.40
1.00	1.00	1.10
0.49	0.34	3.30
0.48	0.33	3.22
0.76	0.56	2.64
0.64	0.47	2.77
0.63	0.49	2.71
0.66	0.47	2.77
0.21	0.24	2.30
0.90	0.80	1.61
0.39	0.27	2.64
0.60	0.49	2.40
0.69	0.57	2.08
0.91	0.81	3.00
0.71	0.49	3.18
-1.00	-1.00	0.69
0.68	0.52	2.48
0.91	0.76	2.48
0.34	0.30	2.64
0.65	0.49	3.09
0.71	0.54	2.56
0.80	0.62	3.00
0.50	0.40	3.14
0.59	0.42	2.89
0.69	0.50	3.56
0.36	0.29	2.08
0.90	0.80	1.61
0.65	0.46	3.47
0.43	0.33	2.89
-1.00	-1.00	0.69
