Spearman	Kendall	MutualInformation
0.43	0.28	3.09
0.65	0.48	2.77
0.69	0.54	2.56
0.59	0.42	2.40
0.45	0.32	3.00
0.62	0.42	2.89
0.89	0.81	1.95
0.79	0.62	1.95
0.67	0.36	2.08
1.00	1.00	0.69
0.61	0.43	2.94
1.00	1.00	1.61
0.72	0.51	3.00
0.83	0.73	1.79
0.26	0.20	1.79
-0.13	-0.12	2.48
0.79	0.64	2.08
0.68	0.50	2.20
0.51	0.34	3.04
0.64	0.43	1.95
0.37	0.33	1.79
0.74	0.64	2.08
0.50	0.20	1.61
0.57	0.41	2.56
0.65	0.44	2.20
0.45	0.28	2.83
0.77	0.60	1.79
0.70	0.56	2.20
0.37	0.33	1.79
0.15	0.13	2.40
0.51	0.38	2.83
0.89	0.71	1.95
0.50	0.42	2.48
0.83	0.73	1.79
0.71	0.60	1.79
0.22	0.11	3.14
0.50	0.33	1.10
0.68	0.45	3.18
0.67	0.49	3.43
0.55	0.31	2.40
0.46	0.33	2.77
0.43	0.29	2.08
0.79	0.62	1.95
0.46	0.33	2.56
0.42	0.22	3.09
0.32	0.24	2.30
0.46	0.32	2.64
0.71	0.53	3.33
0.62	0.46	3.69
0.67	0.49	3.43
0.62	0.47	2.71
0.40	0.24	2.94
0.70	0.51	3.18
0.65	0.44	2.56
0.48	0.33	3.18
0.63	0.44	2.20
0.68	0.50	3.14
0.72	0.55	2.48
0.80	0.62	2.56
0.57	0.38	3.58
0.71	0.50	2.71
0.78	0.58	2.77
0.59	0.45	3.00
0.80	0.67	1.39
0.43	0.30	3.26
0.83	0.73	1.79
0.22	0.20	2.30
0.26	0.21	2.08
0.61	0.44	2.94
0.80	0.67	1.39
0.57	0.38	3.14
0.51	0.39	2.94
0.62	0.45	2.71
0.88	0.71	2.40
0.06	0.05	2.40
0.53	0.36	3.00
0.72	0.54	2.56
0.66	0.54	2.56
0.72	0.53	3.14
0.77	0.52	2.64
0.58	0.47	2.30
0.84	0.69	3.00
0.68	0.54	3.00
0.75	0.60	3.04
0.63	0.45	2.77
0.55	0.29	2.30
