Spearman	Kendall	MutualInformation
0.71	0.49	2.19
0.64	0.50	2.60
0.71	0.49	2.27
0.80	0.60	1.61
0.71	0.54	2.31
0.78	0.64	2.69
0.58	0.42	2.21
0.77	0.60	2.10
0.59	0.44	2.46
0.57	0.40	2.44
0.96	0.90	1.95
0.39	0.24	1.95
0.81	0.64	2.08
-1.00	-1.00	0.69
0.71	0.51	2.38
0.90	0.80	1.61
0.83	0.68	2.16
0.43	0.20	1.79
0.78	0.63	2.57
0.83	0.73	1.79
0.18	0.11	2.21
0.55	0.36	2.08
0.84	0.70	2.04
0.75	0.53	2.25
0.89	0.71	1.95
0.93	0.81	2.16
0.43	0.33	1.79
0.51	0.42	1.67
0.80	0.60	1.61
0.86	0.75	2.14
0.81	0.67	1.58
1.00	1.00	0.69
0.27	0.25	1.85
1.00	1.00	1.10
0.89	0.73	1.79
0.66	0.48	2.04
-0.26	-0.20	1.79
0.20	0.15	2.27
0.84	0.69	2.51
0.31	0.26	2.10
0.58	0.39	1.75
0.68	0.51	2.21
0.83	0.60	1.79
0.89	0.73	1.79
0.68	0.53	2.46
0.47	0.36	2.79
0.50	0.33	1.10
0.77	0.57	2.22
0.83	0.68	2.69
0.66	0.51	2.14
0.46	0.30	2.10
0.74	0.56	2.27
0.19	0.00	2.08
0.93	0.81	1.95
0.67	0.55	1.95
0.68	0.49	2.04
0.61	0.54	2.16
0.72	0.56	2.24
0.49	0.39	2.77
0.71	0.52	2.69
0.88	0.68	2.57
0.71	0.58	1.99
0.48	0.37	2.38
0.81	0.63	2.61
0.63	0.46	2.54
0.56	0.43	2.31
0.66	0.50	2.48
0.79	0.70	2.04
0.88	0.70	2.28
0.65	0.44	2.37
0.75	0.58	1.95
0.59	0.41	2.56
0.79	0.59	2.73
0.64	0.53	2.17
0.77	0.55	2.43
0.63	0.50	2.31
1.00	1.00	1.39
0.68	0.51	2.24
0.63	0.50	2.50
0.83	0.73	1.79
0.01	0.05	1.97
0.57	0.50	2.08
0.79	0.62	2.38
0.74	0.56	2.53
-0.40	-0.33	1.39
0.83	0.68	2.28
0.80	0.65	2.23
0.72	0.56	2.49
0.90	0.79	2.10
-0.03	-0.04	2.27
0.73	0.59	2.31
0.59	0.41	2.31
0.69	0.50	2.56
0.81	0.68	2.49
0.64	0.45	2.46
0.88	0.74	2.54
0.55	0.40	2.24
0.62	0.46	1.97
0.75	0.55	2.31
0.88	0.76	2.31
0.81	0.62	2.40
0.75	0.57	2.27
0.84	0.69	1.75
0.83	0.65	2.43
0.67	0.47	2.40
0.66	0.43	2.74
0.80	0.61	2.46
0.80	0.61	2.46
0.38	0.25	2.04
0.74	0.57	2.06
0.51	0.30	2.10
0.50	0.33	1.10
0.83	0.68	2.11
0.63	0.43	2.31
0.40	0.26	2.58
0.75	0.62	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.63	0.47	2.62
0.47	0.32	2.44
0.33	0.26	2.27
0.75	0.55	2.62
0.57	0.44	2.34
0.79	0.62	2.79
0.56	0.48	2.14
nan	nan	0.00
0.43	0.33	1.95
0.38	0.28	1.80
0.60	0.40	1.61
0.75	0.60	2.43
0.52	0.33	2.29
0.83	0.64	2.59
0.72	0.60	2.24
0.80	0.67	1.39
0.71	0.54	2.40
0.55	0.40	2.52
0.22	0.10	1.81
0.76	0.60	2.67
0.69	0.56	2.24
0.72	0.55	2.44
0.50	0.33	1.10
0.82	0.64	2.16
0.73	0.51	2.24
0.83	0.69	2.37
0.90	0.77	2.52
0.86	0.71	1.95
0.72	0.56	2.44
0.71	0.52	1.89
0.66	0.47	2.44
0.71	0.55	1.91
0.88	0.73	2.27
0.64	0.48	2.43
0.78	0.60	2.20
1.00	1.00	1.39
0.84	0.67	2.62
0.64	0.43	2.58
0.54	0.47	1.79
0.76	0.59	2.06
0.76	0.56	2.43
-0.11	-0.14	2.04
0.74	0.55	2.43
0.71	0.52	2.44
0.74	0.63	2.27
0.72	0.56	2.34
0.87	0.71	2.46
0.65	0.48	2.43
0.52	0.36	2.08
0.66	0.49	2.35
0.77	0.59	2.69
0.90	0.80	1.61
0.35	0.24	2.30
0.77	0.60	1.79
0.78	0.63	2.67
0.49	0.36	1.59
0.63	0.48	2.21
-0.20	0.00	1.39
0.73	0.55	1.97
0.64	0.55	1.83
0.63	0.50	2.29
0.73	0.56	2.35
0.81	0.63	2.13
0.90	0.80	1.61
0.21	0.17	2.36
0.87	0.68	2.19
0.80	0.61	2.31
0.60	0.43	2.53
0.65	0.49	2.15
0.73	0.56	2.20
0.50	0.33	1.10
0.80	0.67	1.39
0.69	0.50	2.37
0.71	0.53	2.17
0.92	0.79	2.17
0.77	0.65	1.87
0.88	0.70	2.66
0.65	0.50	2.22
0.64	0.45	2.22
0.88	0.78	2.20
0.49	0.37	1.58
0.79	0.61	2.61
0.89	0.71	1.95
0.62	0.48	2.16
0.70	0.52	2.68
0.65	0.54	2.41
0.49	0.35	2.31
0.64	0.48	2.04
1.00	1.00	1.39
0.72	0.55	2.70
0.66	0.51	2.21
0.63	0.47	2.72
0.84	0.69	2.31
0.90	0.77	2.31
0.54	0.33	1.79
0.81	0.63	2.53
-1.00	-1.00	0.69
1.00	1.00	1.39
0.81	0.64	2.31
0.75	0.58	2.79
0.72	0.55	2.22
0.50	0.34	2.10
0.78	0.60	2.37
0.85	0.67	2.29
0.50	0.33	1.10
0.69	0.52	2.27
0.52	0.36	2.08
0.71	0.55	1.83
0.61	0.48	2.41
0.50	0.33	1.10
0.37	0.33	1.79
0.81	0.63	2.17
0.47	0.36	2.44
0.65	0.45	2.10
0.76	0.56	2.63
0.81	0.63	2.16
1.00	1.00	0.69
0.77	0.64	1.89
0.65	0.46	1.87
0.53	0.34	2.06
0.51	0.36	2.90
0.78	0.61	2.35
0.47	0.35	2.80
-0.30	-0.20	1.61
0.82	0.64	2.47
1.00	1.00	1.39
0.30	0.20	1.61
0.82	0.64	2.54
0.76	0.55	1.75
0.80	0.67	1.39
