Spearman	Kendall	MutualInformation
0.57	0.43	3.09
0.06	0.03	3.40
0.50	0.42	2.40
0.03	0.03	2.83
0.11	0.07	3.22
0.12	0.08	3.14
-0.15	-0.07	2.30
0.00	0.00	2.08
0.14	0.09	2.83
0.44	0.32	2.64
0.07	0.03	3.14
-0.06	-0.03	2.56
-0.14	-0.07	1.79
1.00	1.00	0.69
0.13	0.06	2.20
0.35	0.28	2.20
0.71	0.53	3.22
-0.13	-0.02	2.40
0.38	0.26	3.26
0.27	0.23	2.64
0.27	0.21	2.64
0.12	0.09	3.74
0.54	0.39	3.47
0.38	0.29	2.08
0.26	0.17	3.37
0.35	0.23	3.09
0.33	0.23	3.78
0.34	0.24	3.58
0.56	0.41	2.64
0.68	0.43	1.95
0.47	0.33	2.48
1.00	1.00	1.10
0.55	0.43	2.08
0.36	0.21	2.08
-1.00	-1.00	0.69
0.56	0.42	2.48
-0.50	-0.40	1.61
0.50	0.33	1.10
0.08	0.07	3.26
0.48	0.33	2.30
0.35	0.25	2.64
-0.12	-0.08	3.00
1.00	1.00	0.69
-0.54	-0.42	2.40
0.07	0.11	2.20
0.33	0.25	3.18
0.02	0.03	2.48
0.19	0.10	2.77
-0.27	-0.22	2.20
1.00	1.00	0.69
0.29	0.22	2.77
0.15	0.08	3.09
0.26	0.25	2.64
-0.35	-0.27	2.48
-0.10	0.00	1.61
-0.50	-0.40	1.61
0.19	0.14	3.04
-0.10	-0.06	2.20
0.05	0.02	3.61
0.82	0.61	2.20
0.37	0.27	2.94
0.55	0.43	2.08
0.17	0.15	2.48
-0.11	-0.05	2.71
0.75	0.52	1.95
0.25	0.15	2.77
0.51	0.36	2.64
0.64	0.51	2.30
0.28	0.28	2.20
0.00	-0.17	2.20
0.40	0.33	1.39
0.35	0.22	3.00
0.39	0.25	2.46
0.36	0.28	2.77
-0.15	-0.09	2.40
-0.32	-0.18	2.77
0.33	0.25	2.94
0.80	0.60	1.61
0.68	0.56	2.20
0.17	0.09	2.48
0.47	0.37	3.47
0.17	0.13	2.40
