Spearman	Kendall	MutualInformation
-0.29	-0.19	3.09
0.38	0.24	3.40
0.04	0.02	2.40
0.35	0.26	2.83
0.60	0.43	3.22
-0.22	-0.16	3.14
0.38	0.29	2.30
-0.02	0.07	2.08
0.40	0.28	2.83
0.23	0.19	2.64
0.28	0.21	3.14
0.02	0.03	2.56
0.77	0.60	1.79
-1.00	-1.00	0.69
0.02	0.06	2.20
0.46	0.33	3.22
0.40	0.27	2.40
0.27	0.14	2.64
0.14	0.10	2.64
0.18	0.13	3.74
0.08	0.08	3.47
0.02	0.00	2.08
0.12	0.07	3.37
0.24	0.15	3.09
0.33	0.20	3.78
0.13	0.09	3.58
0.54	0.49	2.64
0.36	0.24	2.48
0.50	0.33	1.10
0.29	0.21	2.08
0.29	0.29	2.08
1.00	1.00	0.69
-0.35	-0.33	2.48
0.70	0.60	1.61
0.50	0.33	1.10
0.26	0.18	3.26
0.27	0.20	2.30
-0.10	-0.06	3.00
1.00	1.00	0.69
0.35	0.20	2.40
0.77	0.61	2.20
0.18	0.18	3.18
-0.13	-0.09	2.48
-0.04	-0.03	2.77
0.47	0.28	2.20
-0.02	-0.05	2.77
-0.35	-0.26	3.09
-0.02	-0.05	2.64
-0.09	-0.03	2.48
0.60	0.40	1.61
0.50	0.20	1.61
0.45	0.30	3.04
0.60	0.50	2.20
0.28	0.17	3.61
0.55	0.28	2.20
0.33	0.30	2.94
-0.31	-0.29	2.08
-0.53	-0.39	2.48
0.39	0.24	2.71
0.57	0.43	1.95
-0.38	-0.27	2.64
0.36	0.11	2.30
0.17	0.17	2.20
0.45	0.44	2.20
0.80	0.67	1.39
0.43	0.33	3.00
0.41	0.28	2.77
0.39	0.31	2.40
-0.01	-0.03	2.77
0.00	-0.01	2.94
0.80	0.60	1.61
0.27	0.22	2.20
0.15	0.09	2.48
0.21	0.21	3.47
0.65	0.49	2.40
0.60	0.40	1.61
0.20	0.00	1.39
1.00	1.00	1.10
0.41	0.27	2.64
-0.50	-0.33	1.10
1.00	1.00	0.69
-0.20	0.00	1.39
-0.60	-0.47	1.79
0.40	0.33	1.39
0.21	0.20	2.40
0.38	0.28	2.20
0.18	0.17	2.20
0.28	0.16	2.64
0.21	0.10	2.83
0.30	0.20	1.61
0.26	0.24	2.30
0.28	0.18	4.22
0.30	0.20	1.61
-0.11	-0.07	3.43
0.11	0.09	3.09
0.43	0.29	3.40
0.18	0.12	3.18
0.13	0.17	2.20
0.47	0.38	2.30
0.50	0.35	2.77
-0.19	-0.10	2.77
0.14	0.07	1.79
0.26	0.20	1.79
0.40	0.27	3.33
0.82	0.64	2.40
0.15	0.10	2.77
-0.40	-0.33	1.39
0.24	0.14	2.08
0.86	0.71	1.95
0.68	0.51	2.30
0.15	0.09	2.48
0.50	0.36	2.08
0.08	0.12	3.00
0.19	0.10	2.71
0.16	0.09	2.71
0.42	0.33	2.77
0.39	0.33	1.95
0.18	0.11	2.94
0.05	0.07	2.30
0.64	0.52	1.95
0.23	0.15	3.74
0.30	0.18	2.56
0.39	0.24	1.95
0.11	0.08	3.26
0.54	0.43	1.95
0.33	0.22	2.20
0.04	0.05	1.95
0.40	0.33	1.39
0.05	0.10	2.71
1.00	1.00	1.10
0.10	0.00	1.61
0.80	0.67	1.39
0.00	0.00	1.39
1.00	1.00	1.10
1.00	1.00	0.69
-0.15	-0.05	2.40
1.00	1.00	1.10
-1.00	-1.00	1.10
0.43	0.20	1.79
-0.13	-0.17	2.20
0.60	0.40	2.83
0.77	0.60	1.79
0.13	0.03	2.71
-0.03	-0.06	2.48
0.68	0.55	2.48
-0.71	-0.57	2.08
0.30	0.20	1.61
0.30	0.20	1.61
-0.40	-0.33	1.39
0.02	0.02	2.40
0.27	0.18	2.48
1.00	1.00	0.69
0.30	0.20	1.61
-1.00	-1.00	0.69
0.26	0.17	3.33
0.80	0.67	1.39
0.43	0.33	2.30
-0.30	-0.20	1.61
0.22	0.27	2.40
0.29	0.24	1.95
0.50	0.20	1.61
0.43	0.33	1.79
0.77	0.60	1.79
-0.10	0.00	1.61
0.26	0.29	2.08
0.28	0.21	2.56
0.50	0.33	1.10
0.60	0.40	1.61
-0.09	0.07	1.79
0.14	0.07	1.79
0.50	0.33	1.10
0.60	0.47	1.79
0.04	0.04	3.30
-0.17	-0.09	2.40
0.02	0.04	3.14
0.54	0.33	1.95
-0.31	-0.20	1.79
1.00	1.00	0.69
0.50	0.33	1.10
0.10	0.14	2.08
0.03	-0.07	2.30
-0.07	-0.02	2.30
-0.09	-0.07	1.79
1.00	1.00	1.10
-0.60	-0.47	1.79
1.00	1.00	1.10
-0.50	-0.33	1.10
0.13	0.06	2.20
0.50	0.33	1.10
-0.40	-0.33	1.39
-0.14	0.03	2.64
-0.50	-0.33	1.10
0.46	0.32	3.58
0.60	0.40	1.61
0.14	0.07	1.79
-0.80	-0.67	1.39
0.41	0.24	2.30
0.33	0.28	2.20
0.45	0.36	2.48
0.14	0.12	3.04
0.32	0.22	3.33
0.29	0.21	2.56
0.15	0.09	3.18
0.17	0.15	2.77
0.29	0.20	3.04
0.42	0.29	2.30
-0.07	-0.07	2.08
0.28	0.21	3.37
