Spearman	Kendall	MutualInformation
0.71	0.52	3.09
0.61	0.45	3.09
0.60	0.38	2.77
0.80	0.60	1.61
0.64	0.49	2.56
0.77	0.60	2.77
0.53	0.33	2.48
0.72	0.60	2.40
0.55	0.39	3.00
0.49	0.31	2.89
0.89	0.81	1.95
0.71	0.52	1.95
0.76	0.57	2.08
-1.00	-1.00	0.69
0.66	0.45	2.94
0.80	0.60	1.61
0.73	0.54	3.00
0.49	0.33	1.79
0.71	0.58	2.77
0.26	0.20	1.79
-0.12	-0.12	2.48
0.10	0.14	2.08
0.68	0.50	2.20
0.60	0.38	3.04
0.21	0.14	1.95
0.78	0.69	2.30
0.71	0.60	1.79
0.67	0.50	2.08
0.90	0.80	1.61
0.71	0.56	2.56
0.65	0.39	2.20
1.00	1.00	0.69
0.33	0.22	2.83
0.50	0.33	1.10
0.94	0.87	1.79
0.72	0.61	2.20
-0.66	-0.60	1.79
0.11	0.09	2.40
0.74	0.65	2.83
0.04	0.09	2.40
0.68	0.52	1.95
0.76	0.64	2.48
0.71	0.60	1.79
1.00	1.00	1.79
0.62	0.44	3.37
0.48	0.34	3.14
0.50	0.33	1.10
0.72	0.47	3.18
0.78	0.60	3.43
0.54	0.41	2.56
0.37	0.24	2.40
0.68	0.45	2.77
0.50	0.21	2.08
0.96	0.90	1.95
0.43	0.28	2.56
0.69	0.49	3.09
0.61	0.47	2.30
0.58	0.43	2.64
0.47	0.35	3.69
0.72	0.52	3.43
0.86	0.66	3.37
0.74	0.58	2.71
0.37	0.26	2.94
0.79	0.61	3.18
0.47	0.32	2.64
0.57	0.44	2.56
0.57	0.41	3.18
0.90	0.78	2.20
0.81	0.62	3.14
0.61	0.45	2.48
0.77	0.59	2.56
0.53	0.35	3.58
0.75	0.55	3.08
0.53	0.43	2.71
0.60	0.42	2.77
0.50	0.38	3.00
1.00	1.00	1.39
0.56	0.38	2.64
0.55	0.38	3.26
0.94	0.87	1.79
-0.01	-0.02	2.30
0.40	0.21	2.08
0.72	0.56	2.94
0.72	0.52	3.04
0.40	0.33	1.39
0.78	0.59	3.14
0.69	0.50	2.94
0.54	0.41	2.71
0.85	0.71	2.40
-0.04	-0.05	2.40
0.71	0.54	3.00
0.62	0.49	2.56
0.57	0.38	3.30
0.81	0.66	2.71
0.70	0.51	2.56
0.86	0.67	3.14
0.44	0.34	2.64
0.45	0.33	2.30
0.77	0.61	3.00
0.87	0.67	3.00
0.74	0.54	3.04
0.67	0.48	2.77
0.72	0.51	2.30
0.71	0.52	3.22
0.32	0.23	2.64
0.55	0.39	3.33
0.74	0.52	3.37
0.81	0.67	2.56
0.33	0.17	2.20
0.73	0.56	2.64
0.62	0.45	2.40
0.50	0.33	1.10
0.72	0.50	3.26
0.76	0.51	2.56
0.39	0.25	2.89
0.79	0.71	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.42	0.28	3.26
0.47	0.33	3.30
0.27	0.20	2.77
0.65	0.45	3.26
0.55	0.39	2.71
0.74	0.53	3.22
0.55	0.49	2.56
nan	nan	0.00
0.43	0.33	1.95
0.35	0.26	2.71
0.60	0.40	1.61
0.78	0.59	3.22
0.29	0.20	2.89
0.87	0.69	3.00
0.55	0.43	2.64
0.80	0.67	1.39
0.52	0.37	3.04
