Spearman	Kendall	MutualInformation
0.68	0.51	3.09
0.53	0.42	3.40
0.60	0.45	2.40
0.53	0.54	2.83
0.65	0.49	3.22
0.35	0.24	3.14
0.25	0.29	2.30
-0.14	-0.07	2.08
0.78	0.59	2.83
0.57	0.47	2.64
0.71	0.54	3.14
0.42	0.28	2.56
-0.03	0.07	1.79
1.00	1.00	0.69
-0.07	-0.06	2.20
0.67	0.44	2.20
0.75	0.57	3.22
0.37	0.31	2.40
0.71	0.51	3.26
0.69	0.54	2.64
0.64	0.45	2.64
0.63	0.48	3.74
0.75	0.54	3.47
0.83	0.64	2.08
0.82	0.65	3.37
0.63	0.46	3.09
0.59	0.44	3.78
0.65	0.49	3.58
0.76	0.60	2.64
0.75	0.52	1.95
0.57	0.36	2.48
0.50	0.33	1.10
0.38	0.36	2.08
0.60	0.43	2.08
-1.00	-1.00	0.69
0.66	0.48	2.48
0.40	0.40	1.61
0.50	0.33	1.10
0.78	0.59	3.26
0.77	0.60	2.30
0.59	0.41	2.64
0.05	0.03	3.00
1.00	1.00	0.69
0.85	0.67	2.40
0.53	0.39	2.20
0.47	0.31	3.18
0.85	0.73	2.48
0.43	0.33	2.77
0.80	0.67	2.20
1.00	1.00	0.69
0.40	0.37	2.77
0.64	0.40	3.09
0.82	0.63	2.64
0.59	0.39	2.48
0.90	0.80	1.61
0.30	0.20	1.61
0.68	0.51	3.04
0.30	0.22	2.20
0.50	0.35	3.61
0.13	0.06	2.20
0.44	0.32	2.94
-0.17	-0.14	2.08
0.55	0.33	2.48
0.53	0.39	2.71
0.71	0.52	1.95
0.63	0.48	2.77
0.79	0.60	2.64
0.73	0.51	2.30
0.32	0.17	2.20
0.82	0.72	2.20
0.80	0.67	1.39
0.75	0.56	3.00
0.76	0.56	2.56
0.41	0.28	2.77
0.61	0.38	2.40
0.29	0.25	2.77
0.84	0.65	2.94
1.00	1.00	1.61
0.37	0.28	2.20
0.22	0.18	2.48
0.63	0.46	3.47
0.64	0.60	2.40
0.30	0.20	1.61
-0.80	-0.60	1.61
0.80	0.67	1.39
0.50	0.33	1.10
0.45	0.32	2.64
0.50	0.33	1.10
-1.00	-1.00	0.69
0.40	0.33	1.39
0.54	0.33	1.79
1.00	1.00	1.39
0.65	0.53	2.40
0.78	0.61	2.20
0.72	0.50	2.20
0.80	0.67	1.39
0.29	0.21	2.64
0.79	0.60	2.94
0.59	0.44	2.83
0.50	0.40	1.61
0.55	0.42	2.30
0.61	0.46	4.22
0.30	0.20	1.61
0.44	0.32	3.43
0.63	0.45	3.09
0.72	0.58	3.40
0.77	0.58	2.71
0.52	0.39	3.18
0.60	0.39	2.20
0.90	0.78	2.30
0.74	0.57	2.77
0.66	0.47	1.79
0.75	0.55	2.77
-0.03	-0.07	1.79
0.77	0.60	1.79
0.77	0.56	3.33
0.88	0.78	2.40
0.90	0.80	1.61
0.33	0.27	2.77
