Spearman	Kendall	MutualInformation
0.71	0.49	3.09
0.69	0.55	3.09
0.65	0.42	2.77
0.90	0.80	1.61
0.70	0.54	2.56
0.78	0.65	2.77
0.64	0.45	2.48
0.73	0.53	2.40
0.65	0.47	3.00
0.58	0.41	2.89
0.96	0.90	1.95
0.86	0.71	1.95
0.76	0.57	2.08
-1.00	-1.00	0.69
0.72	0.51	2.94
0.90	0.80	1.61
0.83	0.67	3.00
0.43	0.20	1.79
0.72	0.57	2.77
0.60	0.47	1.79
0.33	0.15	2.48
0.60	0.43	2.08
0.83	0.67	2.20
0.75	0.52	3.04
0.61	0.43	1.95
0.92	0.78	2.30
0.77	0.60	1.79
0.69	0.57	2.08
0.80	0.60	1.61
0.86	0.72	2.56
0.67	0.44	2.20
1.00	1.00	0.69
0.35	0.26	2.83
1.00	1.00	1.10
0.89	0.73	1.79
0.67	0.50	2.20
-0.49	-0.33	1.79
0.25	0.20	2.40
0.75	0.59	2.83
0.24	0.16	2.40
0.57	0.43	1.95
0.75	0.61	2.48
0.83	0.60	1.79
0.94	0.87	1.79
0.75	0.58	3.37
0.53	0.38	3.14
0.50	0.33	1.10
0.80	0.59	3.18
0.84	0.66	3.43
0.77	0.56	2.56
0.50	0.35	2.40
0.71	0.50	2.77
0.29	0.21	2.08
0.93	0.81	1.95
0.52	0.44	2.56
0.76	0.58	3.09
0.64	0.51	2.30
0.68	0.52	2.64
0.54	0.42	3.69
0.75	0.55	3.43
0.87	0.66	3.37
0.79	0.66	2.71
0.46	0.32	2.94
0.83	0.64	3.18
0.53	0.38	2.64
0.57	0.46	2.56
0.67	0.50	3.18
0.82	0.67	2.20
0.81	0.61	3.14
0.72	0.52	2.48
0.86	0.67	2.56
0.58	0.39	3.58
0.78	0.57	3.08
0.60	0.50	2.71
0.69	0.48	2.77
0.59	0.44	3.00
1.00	1.00	1.39
0.71	0.54	2.64
0.65	0.50	3.26
0.89	0.73	1.79
0.07	0.07	2.30
0.62	0.57	2.08
0.80	0.61	2.94
0.75	0.56	3.04
-0.20	0.00	1.39
0.82	0.66	3.14
0.79	0.65	2.94
0.70	0.56	2.71
0.89	0.75	2.40
0.17	0.13	2.40
0.72	0.56	3.00
0.59	0.41	2.56
0.66	0.45	3.30
0.82	0.68	2.71
0.69	0.51	2.56
0.90	0.75	3.14
0.54	0.36	2.64
0.64	0.47	2.30
0.80	0.64	3.00
0.90	0.79	3.00
0.81	0.62	3.04
0.76	0.60	2.77
0.73	0.56	2.30
0.84	0.64	3.22
0.68	0.47	2.64
0.67	0.43	3.33
0.85	0.67	3.37
0.82	0.64	2.56
0.38	0.28	2.20
0.82	0.65	2.64
0.58	0.38	2.40
0.50	0.33	1.10
0.81	0.62	3.26
0.64	0.41	2.56
0.47	0.29	2.89
0.75	0.62	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.63	0.45	3.26
0.49	0.33	3.30
0.32	0.22	2.77
0.75	0.52	3.26
0.55	0.43	2.71
0.77	0.57	3.22
0.51	0.44	2.56
nan	nan	0.00
0.43	0.33	1.95
0.42	0.30	2.71
0.60	0.40	1.61
0.76	0.59	3.22
0.49	0.29	2.89
0.86	0.65	3.00
0.75	0.58	2.64
0.80	0.67	1.39
0.69	0.52	3.04
0.57	0.42	2.94
0.15	0.03	2.48
0.76	0.59	3.18
0.61	0.49	2.64
0.69	0.49	2.89
1.00	1.00	1.10
0.86	0.67	3.00
0.75	0.54	2.64
0.87	0.73	2.48
0.89	0.74	2.94
0.79	0.62	1.95
0.76	0.54	3.30
0.77	0.64	2.40
0.67	0.49	2.89
0.67	0.50	2.08
0.81	0.63	2.77
0.60	0.42	2.77
0.86	0.66	2.83
0.80	0.67	1.39
0.83	0.66	3.26
0.64	0.46	2.89
0.54	0.47	1.79
0.79	0.60	2.64
0.80	0.63	2.77
0.03	0.00	2.20
0.70	0.50	2.77
0.75	0.56	2.89
0.76	0.62	2.77
0.69	0.52	2.71
0.88	0.72	2.56
0.65	0.44	3.22
0.69	0.57	2.08
0.61	0.41	3.18
0.80	0.60	3.43
1.00	1.00	1.61
0.33	0.20	2.30
0.71	0.47	1.79
0.81	0.65	3.22
0.38	0.27	2.48
0.59	0.42	2.48
-0.20	0.00	1.39
0.71	0.51	2.30
0.70	0.56	2.20
0.57	0.40	2.89
0.73	0.53	3.18
0.75	0.53	3.14
1.00	1.00	1.61
0.24	0.16	2.83
0.88	0.70	3.09
0.79	0.64	2.56
0.58	0.39	3.47
0.63	0.44	3.50
0.72	0.56	2.20
0.50	0.33	1.10
0.40	0.33	1.39
0.68	0.49	3.26
0.61	0.49	2.71
0.94	0.81	2.71
0.74	0.58	2.64
0.92	0.75	3.04
0.66	0.49	3.18
0.66	0.46	3.18
0.92	0.78	2.20
0.52	0.44	2.20
0.81	0.59	3.18
0.89	0.71	1.95
0.66	0.45	3.00
0.69	0.48	3.30
0.70	0.54	3.14
0.52	0.41	2.56
0.62	0.50	2.20
1.00	1.00	1.39
0.72	0.52	3.56
0.72	0.61	2.48
0.65	0.47	3.71
0.78	0.60	3.00
0.87	0.72	2.56
0.37	0.07	1.79
0.77	0.58	3.04
1.00	1.00	0.69
0.80	0.67	1.39
0.81	0.59	2.56
0.77	0.62	3.22
0.69	0.51	3.18
0.55	0.38	2.40
0.75	0.54	3.26
0.80	0.59	2.89
1.00	1.00	1.10
0.71	0.57	2.77
0.62	0.43	2.08
0.75	0.56	2.20
0.65	0.49	3.40
1.00	1.00	1.10
0.43	0.47	1.79
0.84	0.66	2.71
0.51	0.36	2.89
0.75	0.53	2.40
0.81	0.61	3.33
0.84	0.69	2.30
1.00	1.00	0.69
0.77	0.60	2.40
0.69	0.47	2.64
0.52	0.32	2.64
0.53	0.36	3.43
0.77	0.57	3.18
0.51	0.39	3.56
-0.30	-0.20	1.61
0.80	0.60	3.64
1.00	1.00	1.39
0.60	0.40	1.61
0.83	0.65	3.14
0.72	0.56	2.30
0.80	0.67	1.39
-0.10	0.00	1.61
0.85	0.72	3.04
0.80	0.67	1.39
0.89	0.70	2.89
0.78	0.58	3.09
0.74	0.57	2.08
0.69	0.57	2.08
0.85	0.72	2.20
0.72	0.50	3.22
0.57	0.42	2.89
0.83	0.66	2.83
1.00	1.00	1.10
0.65	0.45	2.71
0.83	0.64	3.00
0.52	0.35	2.71
0.88	0.72	2.94
0.62	0.49	2.71
0.80	0.61	3.22
0.50	0.33	1.10
1.00	1.00	1.10
0.48	0.33	2.77
0.68	0.52	1.95
-0.08	-0.04	2.83
0.92	0.79	2.56
0.60	0.37	2.71
0.50	0.39	2.20
1.00	1.00	1.10
1.00	1.00	0.69
0.72	0.52	2.64
0.50	0.33	1.10
0.54	0.39	3.00
0.46	0.33	1.95
0.37	0.33	1.79
0.53	0.37	3.33
0.53	0.35	3.14
0.90	0.80	1.61
0.69	0.56	2.56
0.70	0.56	2.64
1.00	1.00	1.10
0.54	0.37	3.26
0.40	0.33	1.39
0.68	0.54	3.04
0.86	0.66	2.89
0.84	0.66	2.71
0.63	0.41	2.64
0.50	0.33	1.10
0.85	0.64	2.48
1.00	1.00	0.69
0.69	0.50	2.83
0.85	0.67	2.40
1.00	1.00	1.10
0.44	0.29	3.30
0.48	0.36	3.22
0.83	0.67	2.64
0.74	0.60	2.77
0.69	0.50	2.71
0.54	0.40	2.77
0.55	0.47	2.30
0.70	0.60	1.61
0.86	0.71	2.64
0.63	0.49	2.40
0.83	0.71	2.08
0.87	0.72	3.00
0.67	0.49	3.18
1.00	1.00	0.69
0.76	0.58	2.48
0.85	0.67	2.48
0.53	0.49	2.64
0.67	0.45	3.09
0.64	0.54	2.56
0.71	0.48	3.00
0.66	0.49	3.14
0.64	0.46	2.89
0.65	0.49	3.56
0.74	0.57	2.08
0.70	0.60	1.61
0.57	0.38	3.47
0.39	0.29	2.89
1.00	1.00	0.69
0.50	0.35	3.22
0.86	0.69	2.89
0.73	0.56	2.30
0.60	0.50	2.08
0.22	0.16	2.71
0.55	0.43	3.18
0.71	0.62	1.95
0.65	0.47	2.71
0.68	0.49	3.30
0.68	0.47	3.14
0.79	0.57	3.61
0.78	0.59	3.22
0.85	0.66	3.50
0.67	0.47	2.30
0.29	0.20	3.09
0.81	0.60	2.40
0.68	0.56	2.40
0.54	0.35	3.58
0.58	0.38	2.40
0.72	0.51	3.87
0.62	0.43	2.94
0.74	0.53	2.40
0.83	0.63	3.14
0.71	0.51	3.22
0.62	0.42	2.77
0.79	0.64	2.30
0.69	0.50	3.47
0.71	0.52	2.71
0.72	0.57	2.83
0.70	0.53	3.97
0.64	0.39	2.48
0.82	0.67	2.20
0.78	0.58	3.43
0.91	0.74	2.94
0.86	0.67	3.30
0.86	0.67	2.64
0.83	0.71	2.08
0.66	0.45	2.40
0.62	0.43	2.71
0.74	0.51	3.43
0.14	0.07	2.08
0.86	0.66	2.83
0.79	0.56	3.22
0.89	0.72	2.77
0.60	0.43	2.08
0.29	0.19	3.14
0.92	0.78	3.00
0.77	0.59	3.30
0.77	0.56	2.89
0.85	0.68	3.26
0.88	0.71	2.08
0.58	0.39	2.20
0.59	0.43	2.64
0.76	0.55	3.37
0.78	0.62	2.56
0.84	0.65	2.64
0.67	0.49	3.00
0.61	0.45	3.33
0.25	0.43	1.95
0.74	0.57	2.94
0.62	0.43	3.58
0.68	0.48	3.78
0.66	0.39	3.33
0.72	0.52	2.48
0.67	0.48	3.87
0.52	0.36	2.08
0.78	0.57	3.76
0.72	0.55	2.48
0.54	0.20	1.79
0.75	0.57	4.01
0.93	0.78	2.40
0.30	0.20	1.61
0.65	0.47	2.64
0.81	0.61	3.09
0.64	0.43	3.18
0.53	0.37	2.83
0.50	0.36	3.00
0.57	0.43	2.83
0.71	0.53	2.40
0.80	0.58	2.77
0.60	0.47	1.79
0.50	0.35	3.30
0.30	0.22	2.20
0.72	0.56	2.20
0.82	0.65	2.89
0.86	0.67	2.77
0.71	0.47	1.79
0.55	0.42	2.30
0.75	0.56	2.89
0.36	0.23	2.89
0.61	0.42	2.48
0.64	0.43	2.71
0.65	0.50	2.20
0.36	0.21	3.00
0.80	0.58	2.71
0.42	0.27	2.64
0.73	0.57	3.33
0.68	0.46	2.89
0.73	0.53	3.26
0.65	0.47	2.64
0.62	0.38	2.56
0.75	0.56	2.64
0.80	0.64	3.14
0.61	0.43	1.95
0.75	0.56	2.40
0.78	0.58	2.71
0.90	0.70	2.89
0.81	0.64	2.08
0.82	0.60	3.04
0.73	0.48	2.77
0.70	0.52	2.89
0.92	0.79	2.48
0.90	0.79	2.08
0.60	0.47	1.79
0.52	0.26	2.71
0.65	0.44	2.20
0.70	0.49	3.76
0.66	0.44	2.83
0.79	0.60	2.71
0.67	0.43	3.26
0.52	0.36	2.64
0.44	0.31	3.33
0.51	0.37	3.53
0.79	0.59	3.40
0.59	0.42	3.14
0.68	0.51	3.04
0.40	0.30	2.77
0.75	0.57	3.14
0.65	0.49	3.14
0.77	0.56	3.37
0.59	0.47	3.04
0.45	0.32	2.64
0.78	0.60	3.04
0.81	0.65	3.30
0.86	0.70	2.48
0.79	0.61	3.33
0.82	0.64	2.94
0.68	0.49	3.69
0.75	0.53	2.89
0.57	0.40	3.47
0.79	0.57	3.66
0.83	0.64	3.40
0.72	0.51	2.94
0.77	0.56	3.69
0.71	0.49	2.64
0.88	0.72	2.77
0.64	0.44	3.99
0.61	0.42	3.26
0.82	0.62	3.18
0.79	0.59	3.09
0.77	0.58	2.77
0.64	0.45	2.40
0.72	0.54	3.43
0.63	0.50	2.94
0.79	0.59	2.83
0.76	0.54	2.89
0.68	0.52	1.95
0.77	0.55	3.56
0.69	0.41	2.56
0.54	0.45	2.71
0.65	0.49	3.47
0.56	0.39	3.50
0.64	0.42	2.30
0.59	0.42	2.94
0.41	0.31	3.37
0.66	0.47	1.79
0.65	0.45	3.14
0.78	0.56	2.30
0.70	0.60	1.61
0.77	0.64	2.56
0.63	0.45	2.40
0.56	0.36	2.64
0.59	0.38	3.33
0.45	0.28	2.71
0.82	0.64	2.30
0.77	0.58	3.00
0.85	0.67	2.56
0.78	0.61	2.48
0.31	0.20	1.79
0.50	0.36	3.87
0.81	0.61	3.00
0.74	0.52	3.64
0.78	0.58	2.94
0.77	0.53	2.83
0.95	0.85	2.56
0.79	0.61	3.09
0.86	0.66	2.83
0.76	0.55	3.22
0.72	0.50	2.71
0.67	0.53	2.83
0.68	0.44	2.20
0.74	0.50	2.77
0.79	0.57	2.77
0.57	0.40	3.43
0.76	0.57	3.22
0.81	0.67	2.89
0.91	0.73	2.89
0.64	0.49	2.56
0.59	0.35	2.77
0.71	0.54	3.09
0.79	0.60	3.30
0.60	0.42	3.30
0.80	0.65	2.64
0.44	0.30	3.47
0.68	0.44	2.20
0.85	0.68	3.00
0.56	0.36	2.56
0.85	0.66	3.58
0.79	0.57	3.00
0.61	0.42	3.87
0.72	0.53	2.40
0.71	0.47	1.79
0.65	0.46	3.33
0.66	0.48	3.18
0.73	0.56	3.09
0.55	0.33	2.89
0.80	0.59	2.56
0.70	0.48	3.22
0.47	0.45	2.64
0.09	0.07	1.79
0.89	0.73	1.79
0.74	0.52	3.22
0.69	0.46	3.22
0.79	0.60	2.64
0.67	0.45	3.30
0.58	0.38	2.30
0.70	0.51	3.00
0.57	0.36	2.08
0.66	0.45	2.71
0.75	0.51	2.30
0.88	0.74	2.56
0.75	0.52	2.71
0.57	0.36	3.00
0.82	0.64	2.48
0.70	0.53	2.83
0.69	0.45	3.00
0.80	0.57	3.28
0.74	0.56	2.56
0.62	0.48	2.48
0.72	0.55	3.50
0.85	0.66	2.89
0.48	0.33	3.50
0.58	0.39	2.48
0.69	0.53	3.33
0.82	0.63	3.76
0.65	0.49	3.22
0.75	0.56	3.26
0.81	0.62	3.09
0.62	0.42	3.50
0.70	0.47	3.40
0.45	0.33	2.48
0.68	0.49	2.56
0.73	0.52	2.48
0.77	0.59	2.83
0.85	0.67	2.40
0.43	0.33	1.79
0.65	0.49	3.00
0.82	0.66	3.50
0.62	0.38	2.64
0.64	0.46	2.56
0.59	0.43	3.43
0.55	0.38	3.26
0.41	0.30	2.71
0.67	0.44	2.20
0.34	0.27	3.04
0.85	0.65	3.22
0.70	0.56	2.83
0.63	0.44	2.83
0.57	0.41	3.30
0.88	0.74	2.64
0.73	0.51	2.30
0.82	0.64	2.71
0.66	0.49	2.64
0.66	0.60	1.79
0.62	0.44	2.20
0.75	0.54	3.09
