Spearman	Kendall	MutualInformation
0.05	-0.00	3.09
0.34	0.18	3.09
0.70	0.52	2.77
0.90	0.80	1.61
0.15	0.10	2.56
0.66	0.42	2.77
0.45	0.27	2.48
0.41	0.16	2.40
0.53	0.37	3.00
0.24	0.16	2.89
0.61	0.52	1.95
0.39	0.24	1.95
0.31	0.21	2.08
-1.00	-1.00	0.69
0.02	0.01	2.94
-0.30	-0.20	1.61
0.41	0.29	3.00
-0.60	-0.47	1.79
0.63	0.47	2.77
-0.54	-0.47	1.79
-0.32	-0.27	2.48
0.71	0.57	2.08
-0.77	-0.61	2.20
0.38	0.28	3.04
-0.04	0.05	1.95
0.52	0.29	2.30
-0.89	-0.73	1.79
-0.21	-0.14	2.08
0.80	0.60	1.61
0.42	0.31	2.56
0.05	0.00	2.20
1.00	1.00	0.69
0.39	0.18	2.83
0.50	0.33	1.10
0.49	0.33	1.79
0.25	0.17	2.20
0.49	0.33	1.79
-0.03	0.02	2.40
0.53	0.38	2.83
0.27	0.27	2.40
0.07	0.05	1.95
0.35	0.24	2.48
0.37	0.07	1.79
0.54	0.33	1.79
0.53	0.36	3.37
0.30	0.22	3.14
-0.50	-0.33	1.10
-0.04	-0.01	3.18
0.25	0.18	3.43
0.45	0.41	2.56
0.81	0.64	2.40
0.14	0.05	2.77
0.60	0.36	2.08
0.00	-0.05	1.95
0.07	0.05	2.56
0.46	0.33	3.09
0.13	0.16	2.30
0.07	0.03	2.64
0.10	0.06	3.69
0.46	0.36	3.43
0.37	0.25	3.37
0.67	0.45	2.71
0.21	0.15	2.94
0.49	0.34	3.18
0.63	0.41	2.64
0.46	0.33	2.56
0.22	0.14	3.18
0.30	0.39	2.20
0.42	0.30	3.14
-0.06	0.00	2.48
0.25	0.13	2.56
0.22	0.15	3.58
0.41	0.30	3.08
0.40	0.28	2.71
0.18	0.13	2.77
0.19	0.15	3.00
0.80	0.67	1.39
0.28	0.23	2.64
-0.15	-0.08	3.26
0.20	0.07	1.79
0.43	0.29	2.30
-0.14	-0.07	2.08
-0.22	-0.12	2.94
0.52	0.38	3.04
0.20	0.00	1.39
0.03	0.03	3.14
0.39	0.29	2.94
0.24	0.20	2.71
0.65	0.42	2.40
-0.36	-0.20	2.40
0.10	0.05	3.00
0.30	0.23	2.56
0.37	0.27	3.30
0.71	0.56	2.71
0.33	0.23	2.56
0.52	0.34	3.14
-0.04	0.03	2.64
-0.14	-0.16	2.30
-0.11	-0.09	3.00
0.24	0.16	3.00
0.36	0.27	3.04
0.22	0.15	2.77
-0.09	-0.07	2.30
0.46	0.30	3.22
0.31	0.27	2.64
0.05	0.02	3.33
0.16	0.11	3.37
0.23	0.15	2.56
0.13	0.06	2.20
-0.01	0.01	2.64
0.33	0.20	2.40
0.50	0.33	1.10
0.41	0.27	3.26
0.63	0.44	2.56
0.03	0.06	2.89
0.39	0.24	1.95
1.00	1.00	1.10
-1.00	-1.00	0.69
0.36	0.27	3.26
-0.09	-0.06	3.30
0.06	0.05	2.77
0.34	0.27	3.26
0.10	0.07	2.71
0.44	0.31	3.22
0.42	0.33	2.56
nan	nan	0.00
0.14	0.14	1.95
-0.37	-0.26	2.71
-0.30	-0.20	1.61
0.05	0.04	3.22
0.24	0.18	2.89
0.20	0.07	3.00
0.08	0.01	2.64
0.40	0.33	1.39
0.09	0.02	3.04
-0.23	-0.16	2.94
-0.33	-0.21	2.48
0.43	0.29	3.18
0.47	0.34	2.64
0.24	0.18	2.89
0.50	0.33	1.10
0.06	0.02	3.00
0.32	0.25	2.64
0.16	0.12	2.48
0.52	0.38	2.94
-0.96	-0.90	1.95
0.38	0.26	3.30
0.78	0.56	2.40
0.37	0.22	2.89
0.57	0.50	2.08
0.64	0.43	2.77
0.43	0.28	2.77
0.20	0.09	2.83
0.40	0.33	1.39
0.10	0.06	3.26
0.13	0.10	2.89
0.83	0.73	1.79
0.30	0.21	2.64
0.72	0.50	2.77
0.42	0.22	2.20
0.29	0.23	2.77
0.10	0.08	2.89
0.72	0.55	2.77
0.29	0.18	2.71
0.37	0.23	2.56
0.35	0.24	3.22
0.14	0.07	2.08
0.21	0.12	3.18
0.14	0.10	3.43
-0.30	-0.20	1.61
0.48	0.33	2.30
0.09	-0.07	1.79
0.42	0.29	3.22
0.20	0.12	2.48
0.08	0.03	2.48
-0.20	0.00	1.39
0.35	0.24	2.30
0.12	0.11	2.20
0.01	0.07	2.89
0.49	0.28	3.18
0.18	0.15	3.14
-0.80	-0.60	1.61
0.50	0.34	2.83
0.18	0.13	3.09
0.52	0.41	2.56
0.09	0.06	3.47
0.02	-0.02	3.50
-0.07	0.00	2.20
0.50	0.33	1.10
0.80	0.67	1.39
0.40	0.27	3.26
-0.14	-0.07	2.71
0.22	0.10	2.71
0.50	0.34	2.64
0.65	0.43	3.04
0.37	0.29	3.18
0.25	0.17	3.18
0.30	0.17	2.20
-0.23	-0.17	2.20
0.37	0.24	3.18
0.71	0.62	1.95
0.66	0.49	3.00
0.44	0.32	3.30
0.43	0.30	3.14
0.62	0.51	2.56
0.55	0.39	2.20
0.80	0.67	1.39
0.10	0.07	3.56
0.43	0.30	2.48
0.29	0.21	3.71
0.37	0.26	3.00
