Spearman	Kendall	MutualInformation
0.26	0.18	3.00
0.12	-0.02	2.30
0.40	0.31	2.40
0.44	0.30	2.64
0.77	0.64	2.30
0.63	0.50	2.89
0.00	0.03	2.48
0.46	0.37	2.71
0.52	0.50	2.71
0.45	0.35	3.18
0.69	0.54	2.89
0.42	0.31	2.94
0.29	0.21	2.48
0.49	0.38	3.00
0.78	0.67	2.20
0.57	0.45	2.48
0.31	0.21	2.56
0.24	0.19	2.94
0.46	0.28	2.56
0.39	0.27	2.48
0.21	0.24	2.30
0.26	0.20	2.30
0.41	0.29	3.30
0.90	0.80	1.61
0.41	0.30	2.77
0.51	0.39	2.71
0.52	0.42	3.26
0.73	0.55	2.48
0.54	0.37	2.71
0.40	0.30	2.48
0.71	0.62	1.95
0.73	0.55	2.48
0.37	0.23	3.04
0.33	0.30	3.04
0.53	0.42	2.77
0.21	0.13	2.94
0.38	0.24	3.00
0.55	0.46	3.33
-0.40	-0.33	1.39
0.76	0.58	2.71
0.74	0.56	2.40
0.38	0.24	2.48
0.40	0.32	3.00
0.39	0.31	2.89
0.48	0.42	2.48
0.53	0.45	3.26
0.46	0.35	3.30
0.50	0.34	2.83
0.31	0.15	2.48
0.47	0.39	2.48
0.25	0.18	2.83
0.56	0.42	3.14
0.67	0.47	3.04
0.60	0.44	2.56
0.68	0.51	2.56
0.67	0.45	2.94
0.58	0.44	2.56
0.20	0.15	3.14
0.19	0.13	2.23
0.53	0.43	3.47
0.48	0.34	3.30
0.37	0.24	2.83
-0.01	0.01	2.71
0.39	0.27	2.40
0.35	0.25	2.94
0.40	0.30	3.26
0.62	0.47	3.00
0.34	0.30	2.77
0.39	0.38	2.30
0.66	0.51	2.94
0.36	0.31	2.94
0.54	0.33	1.79
0.16	0.12	3.37
0.46	0.33	3.53
0.41	0.26	3.04
0.43	0.28	3.56
0.50	0.37	3.04
0.10	0.08	2.64
0.75	0.56	2.64
0.33	0.28	3.18
0.19	0.13	3.47
0.46	0.33	3.50
0.44	0.28	2.83
0.63	0.50	3.53
0.19	0.11	2.94
0.38	0.29	2.30
0.76	0.60	2.77
0.27	0.19	3.64
0.76	0.58	3.26
