Spearman	Kendall	MutualInformation
-0.12	-0.13	2.40
0.72	0.56	2.20
0.73	0.53	2.40
0.77	0.61	2.20
0.70	0.51	2.30
0.40	0.21	2.08
0.44	0.31	2.40
0.64	0.42	2.30
0.10	0.06	2.20
0.42	0.33	2.20
0.30	0.20	1.61
0.27	0.20	2.40
0.57	0.50	2.08
0.16	0.05	2.40
0.36	0.21	2.08
0.10	0.07	2.08
0.23	0.17	2.20
0.54	0.42	2.40
0.56	0.47	2.30
0.27	0.16	2.30
0.29	0.21	2.08
0.21	0.14	1.95
0.52	0.42	2.40
0.03	0.06	2.20
0.36	0.24	2.30
-0.58	-0.50	2.20
0.74	0.53	2.40
0.71	0.57	2.08
0.39	0.35	2.40
0.38	0.24	2.40
0.46	0.33	1.95
0.36	0.36	2.08
0.37	0.33	2.30
0.86	0.79	2.08
0.64	0.38	2.40
0.12	0.07	2.08
0.52	0.29	2.08
0.60	0.42	2.30
0.39	0.33	2.30
0.59	0.42	2.30
0.45	0.35	2.40
0.25	0.20	2.30
0.35	0.20	2.30
0.50	0.29	2.30
0.08	0.09	2.40
0.38	0.29	2.30
0.25	0.24	2.30
0.86	0.71	2.08
0.43	0.28	2.20
0.33	0.20	2.30
0.57	0.36	2.08
0.15	0.13	2.40
0.67	0.51	2.30
0.82	0.67	2.40
0.03	0.02	2.30
0.05	-0.06	2.20
0.64	0.43	2.08
0.46	0.33	1.95
0.30	0.17	2.20
0.86	0.71	2.08
0.55	0.36	2.08
0.62	0.50	2.08
-0.07	0.00	2.20
0.01	0.02	2.30
0.43	0.20	1.79
0.40	0.31	2.40
0.77	0.61	2.20
0.36	0.29	2.08
0.29	0.21	2.08
0.54	0.45	2.40
0.54	0.24	1.95
0.47	0.38	2.30
-0.15	-0.11	2.20
0.53	0.47	2.30
0.57	0.45	2.48
0.33	0.28	2.20
0.64	0.52	1.95
0.76	0.60	2.40
0.47	0.33	2.30
0.64	0.52	1.95
0.53	0.33	2.30
0.74	0.56	2.40
0.56	0.38	2.40
0.54	0.42	2.40
0.60	0.44	2.20
0.64	0.50	2.08
-0.17	-0.07	2.08
0.64	0.51	2.30
0.26	0.16	2.40
0.18	0.14	1.95
0.35	0.20	2.30
0.67	0.50	2.08
0.71	0.52	1.95
0.22	0.16	2.40
0.71	0.47	2.30
0.77	0.60	2.40
0.72	0.50	2.20
0.63	0.45	2.40
0.45	0.38	2.30
0.82	0.67	2.20
0.14	0.07	2.08
0.88	0.75	2.40
0.27	0.24	2.30
0.55	0.38	2.40
0.84	0.64	2.30
0.22	0.20	2.30
-0.02	0.07	2.30
0.55	0.43	2.08
0.48	0.35	2.40
0.72	0.51	2.30
0.73	0.60	2.40
0.48	0.36	2.08
0.19	0.16	2.30
0.65	0.45	2.40
0.30	0.24	2.40
0.60	0.50	2.20
-0.07	0.00	2.08
0.26	0.20	2.30
0.40	0.36	2.08
0.72	0.60	2.40
0.60	0.50	2.08
0.88	0.71	2.08
-0.18	-0.14	1.95
0.65	0.49	2.40
0.95	0.89	2.20
0.64	0.62	1.95
0.25	0.20	2.40
0.44	0.33	2.30
0.56	0.35	2.40
0.64	0.43	2.08
0.43	0.28	2.20
0.26	0.20	2.40
0.68	0.47	2.30
0.92	0.78	2.30
0.15	0.09	2.40
0.44	0.31	2.40
0.64	0.43	2.08
0.74	0.53	2.40
0.40	0.36	2.08
-0.10	-0.14	2.08
0.33	0.28	2.20
0.68	0.56	2.30
0.50	0.35	2.40
